agency,agency_type,census_geo_type,census_match_name,needs_manual_review,census_match_uncertain
Webster Groves Police Dept,municipal_police,place,"Webster Groves city, Missouri",0,0
Weldon Spring Police Dept,municipal_police,place,"Weldon Spring city, Missouri",0,0
Wellington Police Dept,municipal_police,place,"Wellington city, Missouri",0,0
Wellston Police Dept,municipal_police,place,"Wellston city, Missouri",0,0
Wellsville Police Dept,municipal_police,place,"Wellsville city, Missouri",0,0
Wentzville Police Dept,municipal_police,place,"Wentzville city, Missouri",0,0
West Plains Police Dept,municipal_police,place,"West Plains city, Missouri",0,0
Weston Police Dept,municipal_police,place,"Weston city, Missouri",0,0
Wheaton Police Dept,municipal_police,place,"Wheaton city, Missouri",0,0
Willard Police Dept,municipal_police,place,"Willard city, Missouri",0,0
Willard School Police Dept,municipal_police,place,"Willard School city, Missouri",0,1
Williamsville Police Dept,municipal_police,place,"Williamsville city, Missouri",0,0
Willow Springs Police Dept,municipal_police,place,"Willow Springs city, Missouri",0,0
Winfield Police Dept,municipal_police,place,"Winfield city, Missouri",0,0
Winona Police Dept,municipal_police,place,"Winona city, Missouri",0,0
Wood Heights Police Dept,municipal_police,place,"Wood Heights city, Missouri",0,0
Woodson Terrace Police Dept,municipal_police,place,"Woodson Terrace city, Missouri",0,0
Worth County Sheriff's Dept,county_sheriff,county,"Worth County, Missouri",0,0
Wright City Police Dept,municipal_police,place,"Wright City city, Missouri",0,0
Wright County Sheriff's Dept,county_sheriff,county,"Wright County, Missouri",0,0
