agency,agency_type,census_geo_type,census_match_name,needs_manual_review,census_match_uncertain
Lebanon Police Dept,municipal_police,place,"Lebanon city, Missouri",0,0
Lee's Summit Police Dept,municipal_police,place,"Lee's Summit city, Missouri",0,0
Leeton Police Dept,municipal_police,place,"Leeton city, Missouri",0,0
Lewis County Sheriff's Dept,county_sheriff,county,"Lewis County, Missouri",0,0
Lexington Police Dept,municipal_police,place,"Lexington city, Missouri",0,0
Liberal Police Dept,municipal_police,place,"Liberal city, Missouri",0,0
Liberty Police Dept,municipal_police,place,"Liberty city, Missouri",0,0
Licking Police Dept,municipal_police,place,"Licking city, Missouri",0,0
Lincoln County Sheriff's Dept,county_sheriff,county,"Lincoln County, Missouri",0,0
Lincoln Police Dept,municipal_police,place,"Lincoln city, Missouri",0,0
Lincoln University Police Dept,university,place,"Jefferson City city, Missouri",0,0
Linn County Sheriff's Dept,county_sheriff,county,"Linn County, Missouri",0,0
Linn Creek Police Dept,municipal_police,place,"Linn Creek city, Missouri",0,0
Linn Police Dept,municipal_police,place,"Linn city, Missouri",0,0
Livingston County Sheriff's Dept,county_sheriff,county,"Livingston County, Missouri",0,0
Logan-Rogersville School Police Dept,municipal_police,place,"Logan-Rogersville School city, Missouri",0,1
Lone Jack Police Dept,municipal_police,place,"Lone Jack city, Missouri",0,0
Louisiana Police Dept,municipal_police,place,"Louisiana city, Missouri",0,0
Lowry City Police Dept,municipal_police,place,"Lowry City city, Missouri",0,0
Macon County Sheriff's Dept,county_sheriff,county,"Macon County, Missouri",0,0
Macon Police Dept,municipal_police,place,"Macon city, Missouri",0,0
Madison County Sheriff's Dept,county_sheriff,county,"Madison County, Missouri",0,0
Malden Police Dept,municipal_police,place,"Malden city, Missouri",0,0
Manchester Police Dept,municipal_police,place,"Manchester city, Missouri",0,0
Mansfield Police Dept,municipal_police,place,"Mansfield city, Missouri",0,0
Maplewood Police Dept,municipal_police,place,"Maplewood city, Missouri",0,0
Marble Hill Police Dept,municipal_police,place,"Marble Hill city, Missouri",0,0
Marceline Police Dept,municipal_police,place,"Marceline city, Missouri",0,0
Maries County Sheriff's Dept,county_sheriff,county,"Maries County, Missouri",0,0
Marion County Sheriff's Dept,county_sheriff,county,"Marion County, Missouri",0,0
Marionville Police Dept,municipal_police,place,"Marionville city, Missouri",0,0
Marquand Police Dept,municipal_police,place,"Marquand city, Missouri",0,0
Marshall Police Dept,municipal_police,place,"Marshall city, Missouri",0,0
Marshfield Police Dept,municipal_police,place,"Marshfield city, Missouri",0,0
Marston Police Dept,municipal_police,place,"Marston city, Missouri",0,0
Martinsburg Police Dept,municipal_police,place,"Martinsburg city, Missouri",0,0
Maryland Heights Police Dept,municipal_police,place,"Maryland Heights city, Missouri",0,0
Maryville Dept of Public Safety,municipal_police,place,"Maryville city, Missouri",0,0
Matthews Police Dept,municipal_police,place,"Matthews city, Missouri",0,0
Maysville Police Dept,municipal_police,place,"Maysville city, Missouri",0,0
McDonald County Sheriff's Dept,county_sheriff,county,"McDonald County, Missouri",0,0
Memphis Police Dept,municipal_police,place,"Memphis city, Missouri",0,0
Mercer County Sheriff's Dept,county_sheriff,county,"Mercer County, Missouri",0,0
Merriam Woods Police Dept,municipal_police,place,"Merriam Woods city, Missouri",0,0
Metropolitan Community College Police Dept,university,place,"Kansas City city, Missouri",0,0
Mexico Police Dept,municipal_police,place,"Mexico city, Missouri",0,0
Milan Police Dept,municipal_police,place,"Milan city, Missouri",0,0
Miller County Sheriff's Dept,county_sheriff,county,"Miller County, Missouri",0,0
Miner Police Dept,municipal_police,place,"Miner city, Missouri",0,0
Mississippi County Sheriff's Dept,county_sheriff,county,"Mississippi County, Missouri",0,0
Missouri Capitol Police,municipal_police,place,"Missouri Capitol Police city, Missouri",0,1
Missouri Dept Natural Resources-Park Rangers,park_ranger,state,Missouri,0,0
