section,agency,metric,year,race,value,agency_type,census_geo_type,census_match_name,needs_manual_review,census_match_uncertain
statewide,ALL,nonresident_stops,2024,Hispanic,27208.0,,,,,
statewide,ALL,nonresident_pct,2024,Hispanic,58.3,,,,,
statewide,ALL,reason_moving,2020,White,539406.0,,,,,
statewide,ALL,reason_moving,2020,Black,122315.0,,,,,
statewide,ALL,reason_moving,2020,Hispanic,20879.0,,,,,
statewide,ALL,reason_moving,2021,White,560449.0,,,,,
statewide,ALL,reason_moving,2021,Black,125442.0,,,,,
statewide,ALL,reason_moving,2021,Hispanic,21833.0,,,,,
statewide,ALL,reason_moving,2022,White,559263.0,,,,,
statewide,ALL,reason_moving,2022,Black,120261.0,,,,,
statewide,ALL,reason_moving,2022,Hispanic,24124.0,,,,,
statewide,ALL,reason_moving,2023,White,591518.0,,,,,
statewide,ALL,reason_moving,2023,Black,123633.0,,,,,
statewide,ALL,reason_moving,2023,Hispanic,27901.0,,,,,
statewide,ALL,reason_moving,2024,White,545672.0,,,,,
statewide,ALL,reason_moving,2024,Black,112300.0,,,,,
statewide,ALL,reason_moving,2024,Hispanic,28989.0,,,,,
statewide,ALL,reason_equipment,2020,White,123329.0,,,,,
statewide,ALL,reason_equipment,2020,Black,26150.0,,,,,
statewide,ALL,reason_equipment,2020,Hispanic,3462.0,,,,,
statewide,ALL,reason_equipment,2021,White,130301.0,,,,,
statewide,ALL,reason_equipment,2021,Black,28878.0,,,,,
statewide,ALL,reason_equipment,2021,Hispanic,3830.0,,,,,
statewide,ALL,reason_equipment,2022,White,132468.0,,,,,
statewide,ALL,reason_equipment,2022,Black,26417.0,,,,,
statewide,ALL,reason_equipment,2022,Hispanic,4382.0,,,,,
statewide,ALL,reason_equipment,2023,White,139921.0,,,,,
statewide,ALL,reason_equipment,2023,Black,26997.0,,,,,
statewide,ALL,reason_equipment,2023,Hispanic,5319.0,,,,,
statewide,ALL,reason_equipment,2024,White,130134.0,,,,,
statewide,ALL,reason_equipment,2024,Black,26592.0,,,,,
statewide,ALL,reason_equipment,2024,Hispanic,6062.0,,,,,
statewide,ALL,reason_investigative,2020,White,29565.0,,,,,
statewide,ALL,reason_investigative,2020,Black,9846.0,,,,,
statewide,ALL,reason_investigative,2020,Hispanic,985.0,,,,,
statewide,ALL,reason_investigative,2021,White,31714.0,,,,,
statewide,ALL,reason_investigative,2021,Black,11687.0,,,,,
statewide,ALL,reason_investigative,2021,Hispanic,1197.0,,,,,
statewide,ALL,reason_investigative,2022,White,30224.0,,,,,
statewide,ALL,reason_investigative,2022,Black,9595.0,,,,,
statewide,ALL,reason_investigative,2022,Hispanic,1325.0,,,,,
statewide,ALL,reason_investigative,2023,White,27833.0,,,,,
statewide,ALL,reason_investigative,2023,Black,9218.0,,,,,
statewide,ALL,reason_investigative,2023,Hispanic,1491.0,,,,,
statewide,ALL,reason_investigative,2024,White,25158.0,,,,,
statewide,ALL,reason_investigative,2024,Black,9221.0,,,,,
statewide,ALL,reason_investigative,2024,Hispanic,1868.0,,,,,
statewide,ALL,reason_license,2020,White,232942.0,,,,,
statewide,ALL,reason_license,2020,Black,64322.0,,,,,
statewide,ALL,reason_license,2020,Hispanic,5278.0,,,,,
statewide,ALL,reason_license,2021,White,250572.0,,,,,
statewide,ALL,reason_license,2021,Black,76111.0,,,,,
statewide,ALL,reason_license,2021,Hispanic,5805.0,,,,,
statewide,ALL,reason_license,2022,White,302400.0,,,,,
statewide,ALL,reason_license,2022,Black,83329.0,,,,,
statewide,ALL,reason_license,2022,Hispanic,7662.0,,,,,
statewide,ALL,reason_license,2023,White,338241.0,,,,,
statewide,ALL,reason_license,2023,Black,95980.0,,,,,
statewide,ALL,reason_license,2023,Hispanic,9733.0,,,,,
statewide,ALL,reason_license,2024,White,323283.0,,,,,
statewide,ALL,reason_license,2024,Black,88746.0,,,,,
statewide,ALL,reason_license,2024,Hispanic,12080.0,,,,,
statewide,ALL,search_rate_pct,2020,White,8.3,,,,,
statewide,ALL,arrest_rate_pct,2020,White,3.7,,,,,
statewide,ALL,search_rate_pct,2020,Black,8.55,,,,,
statewide,ALL,arrest_rate_pct,2020,Black,4.61,,,,,
