year,source,geo_type,name,Total,White,Black,Hispanic,state_fips,county_fips,place_fips
2014,acs5,county,"Adair County, Missouri",25642,23547,538,615,29,001,
2014,acs5,county,"Andrew County, Missouri",17373,16586,137,352,29,003,
2014,acs5,county,"Atchison County, Missouri",5520,5357,30,64,29,005,
2014,acs5,county,"Audrain County, Missouri",25637,22630,1509,684,29,007,
2014,acs5,county,"Barry County, Missouri",35681,31332,18,2934,29,009,
2014,acs5,county,"Barton County, Missouri",12286,11509,27,271,29,011,
2014,acs5,county,"Bates County, Missouri",16780,15952,113,326,29,013,
2014,acs5,county,"Benton County, Missouri",18961,18128,51,318,29,015,
2014,acs5,county,"Bollinger County, Missouri",12394,12027,41,110,29,017,
2014,acs5,county,"Boone County, Missouri",168268,135326,14613,5259,29,019,
2014,acs5,county,"Buchanan County, Missouri",89536,76174,4275,5103,29,021,
2014,acs5,county,"Butler County, Missouri",42957,38519,2247,708,29,023,
2014,acs5,county,"Caldwell County, Missouri",9176,8755,68,164,29,025,
2014,acs5,county,"Callaway County, Missouri",44483,40290,1719,796,29,027,
2014,acs5,county,"Camden County, Missouri",43873,41655,200,1066,29,029,
2014,acs5,county,"Cape Girardeau County, Missouri",77031,67202,5657,1634,29,031,
2014,acs5,county,"Carroll County, Missouri",9157,8690,81,120,29,033,
2014,acs5,county,"Carter County, Missouri",6283,5955,37,119,29,035,
2014,acs5,county,"Cass County, Missouri",100339,89328,3717,4145,29,037,
2014,acs5,county,"Cedar County, Missouri",13912,13288,35,173,29,039,
2014,acs5,county,"Chariton County, Missouri",7727,7412,166,61,29,041,
2014,acs5,county,"Christian County, Missouri",79856,74963,528,2147,29,043,
2014,acs5,county,"Clark County, Missouri",7001,6821,34,33,29,045,
2014,acs5,county,"Clay County, Missouri",227984,189492,12036,14269,29,047,
2014,acs5,county,"Clinton County, Missouri",20545,19326,394,369,29,049,
2014,acs5,county,"Cole County, Missouri",76426,62672,8640,1985,29,051,
2014,acs5,county,"Cooper County, Missouri",17585,15651,1006,255,29,053,
2014,acs5,county,"Crawford County, Missouri",24680,23733,65,396,29,055,
2014,acs5,county,"Dade County, Missouri",7678,7256,43,130,29,057,
2014,acs5,county,"Dallas County, Missouri",16632,15760,8,288,29,059,
2014,acs5,county,"Daviess County, Missouri",8324,8049,59,107,29,061,
2014,acs5,county,"DeKalb County, Missouri",12824,10648,1384,244,29,063,
2014,acs5,county,"Dent County, Missouri",15681,14923,76,190,29,065,
2014,acs5,county,"Douglas County, Missouri",13575,13279,0,136,29,067,
2014,acs5,county,"Dunklin County, Missouri",31778,26052,3291,1887,29,069,
2014,acs5,county,"Franklin County, Missouri",101682,97228,1175,1561,29,071,
2014,acs5,county,"Gasconade County, Missouri",15014,14532,91,180,29,073,
2014,acs5,county,"Gentry County, Missouri",6792,6619,47,53,29,075,
2014,acs5,county,"Greene County, Missouri",280657,249670,8440,9040,29,077,
2014,acs5,county,"Grundy County, Missouri",10279,9816,66,118,29,079,
2014,acs5,county,"Harrison County, Missouri",8795,8452,76,163,29,081,
2014,acs5,county,"Henry County, Missouri",22134,20921,326,419,29,083,
2014,acs5,county,"Hickory County, Missouri",9420,9029,26,116,29,085,
2014,acs5,county,"Holt County, Missouri",4695,4550,30,13,29,087,
2014,acs5,county,"Howard County, Missouri",10183,9249,512,137,29,089,
2014,acs5,county,"Howell County, Missouri",40469,38438,114,735,29,091,
2014,acs5,county,"Iron County, Missouri",10424,9892,187,150,29,093,
2014,acs5,county,"Jackson County, Missouri",678167,426956,159940,57972,29,095,
2014,acs5,county,"Jasper County, Missouri",116996,99976,2506,8408,29,097,
2014,acs5,county,"Jefferson County, Missouri",220558,209644,1871,3748,29,099,
2014,acs5,county,"Johnson County, Missouri",53879,46871,2388,1946,29,101,
2014,acs5,county,"Knox County, Missouri",4078,3945,51,17,29,103,
2014,acs5,county,"Laclede County, Missouri",35544,33469,189,762,29,105,
2014,acs5,county,"Lafayette County, Missouri",33069,30621,697,802,29,107,
2014,acs5,county,"Lawrence County, Missouri",38306,34609,45,2577,29,109,
2014,acs5,county,"Lewis County, Missouri",10176,9425,269,166,29,111,
2014,acs5,county,"Lincoln County, Missouri",53458,50090,975,1108,29,113,
2014,acs5,county,"Linn County, Missouri",12494,11953,59,213,29,115,
2014,acs5,county,"Livingston County, Missouri",15034,14119,353,210,29,117,
2014,acs5,county,"Macon County, Missouri",15527,14643,434,174,29,121,
2014,acs5,county,"Madison County, Missouri",12353,11829,74,252,29,123,
2014,acs5,county,"Maries County, Missouri",9098,8782,27,95,29,125,
2014,acs5,county,"Marion County, Missouri",28844,26141,1515,434,29,127,
2014,acs5,county,"McDonald County, Missouri",22851,18238,299,2590,29,119,
2014,acs5,county,"Mercer County, Missouri",3735,3619,15,47,29,129,
2014,acs5,county,"Miller County, Missouri",24905,23764,113,410,29,131,
2014,acs5,county,"Mississippi County, Missouri",14276,10369,3417,263,29,133,
2014,acs5,county,"Moniteau County, Missouri",15719,14138,574,664,29,135,
2014,acs5,county,"Monroe County, Missouri",8725,8209,260,91,29,137,
2014,acs5,county,"Montgomery County, Missouri",12054,11442,100,186,29,139,
2014,acs5,county,"Morgan County, Missouri",20314,19270,257,381,29,141,
2014,acs5,county,"New Madrid County, Missouri",18568,14994,2960,260,29,143,
2014,acs5,county,"Newton County, Missouri",58683,51148,570,2775,29,145,
2014,acs5,county,"Nodaway County, Missouri",23296,21727,610,333,29,147,
2014,acs5,county,"Oregon County, Missouri",10975,10405,19,154,29,149,
2014,acs5,county,"Osage County, Missouri",13812,13494,91,95,29,151,
2014,acs5,county,"Ozark County, Missouri",9612,9225,15,145,29,153,
2014,acs5,county,"Pemiscot County, Missouri",18010,12476,4840,392,29,155,
2014,acs5,county,"Perry County, Missouri",19042,18259,82,374,29,157,
2014,acs5,county,"Pettis County, Missouri",42213,36371,1075,3312,29,159,
2014,acs5,county,"Phelps County, Missouri",45091,40323,1004,1036,29,161,
2014,acs5,county,"Pike County, Missouri",18573,16482,1060,374,29,163,
2014,acs5,county,"Platte County, Missouri",92149,76686,5605,4973,29,165,
2014,acs5,county,"Polk County, Missouri",31122,29342,287,632,29,167,
2014,acs5,county,"Pulaski County, Missouri",53343,37820,5728,5316,29,169,
2014,acs5,county,"Putnam County, Missouri",4911,4778,27,49,29,171,
2014,acs5,county,"Ralls County, Missouri",10224,9826,75,118,29,173,
2014,acs5,county,"Randolph County, Missouri",25207,22588,1428,446,29,175,
2014,acs5,county,"Ray County, Missouri",23166,21881,316,483,29,177,
2014,acs5,county,"Reynolds County, Missouri",6644,6330,62,124,29,179,
2014,acs5,county,"Ripley County, Missouri",14056,13445,9,161,29,181,
2014,acs5,county,"Saline County, Missouri",23363,19142,1269,2115,29,195,
2014,acs5,county,"Schuyler County, Missouri",4388,4294,31,16,29,197,
2014,acs5,county,"Scotland County, Missouri",4862,4765,42,44,29,199,
2014,acs5,county,"Scott County, Missouri",39137,33004,4357,789,29,201,
2014,acs5,county,"Shannon County, Missouri",8360,7897,28,150,29,203,
2014,acs5,county,"Shelby County, Missouri",6218,6026,82,79,29,205,
2014,acs5,county,"St. Charles County, Missouri",369781,327256,16553,10938,29,183,
2014,acs5,county,"St. Clair County, Missouri",9609,9128,85,190,29,185,
2014,acs5,county,"St. Francois County, Missouri",65813,60830,2965,880,29,187,
2014,acs5,county,"St. Louis County, Missouri",1000423,681762,232243,26205,29,189,
2014,acs5,county,"St. Louis city, Missouri",318727,136440,152808,11659,29,510,
2014,acs5,county,"Ste. Genevieve County, Missouri",18017,17314,87,168,29,186,
2014,acs5,county,"Stoddard County, Missouri",29864,28684,402,427,29,207,
2014,acs5,county,"Stone County, Missouri",31593,30211,19,591,29,209,
2014,acs5,county,"Sullivan County, Missouri",6551,5213,64,1190,29,211,
2014,acs5,county,"Taney County, Missouri",53086,47911,355,2715,29,213,
2014,acs5,county,"Texas County, Missouri",25796,23650,648,489,29,215,
2014,acs5,county,"Vernon County, Missouri",20984,19861,161,385,29,217,
2014,acs5,county,"Warren County, Missouri",32847,30357,630,1011,29,219,
2014,acs5,county,"Washington County, Missouri",25113,23785,488,99,29,221,
2014,acs5,county,"Wayne County, Missouri",13430,12902,60,80,29,223,
2014,acs5,county,"Webster County, Missouri",36461,34586,428,659,29,225,
2014,acs5,county,"Worth County, Missouri",2102,2068,0,15,29,227,
2014,acs5,county,"Wright County, Missouri",18565,17771,86,283,29,229,
2014,acs5,place,"Adrian city, Missouri",2098,2045,2,32,29,,00244
2014,acs5,place,"Advance city, Missouri",1465,1450,0,14,29,,00262
2014,acs5,place,"Affton CDP, Missouri",21358,19772,360,626,29,,00280
2014,acs5,place,"Agency village, Missouri",840,769,0,14,29,,00298
2014,acs5,place,"Airport Drive village, Missouri",835,786,0,23,29,,00424
2014,acs5,place,"Alba city, Missouri",561,535,2,9,29,,00496
2014,acs5,place,"Albany city, Missouri",2125,2011,45,29,29,,00514
2014,acs5,place,"Aldrich village, Missouri",75,69,0,0,29,,00568
2014,acs5,place,"Alexandria city, Missouri",136,117,12,0,29,,00604
2014,acs5,place,"Allendale village, Missouri",94,94,0,0,29,,00712
2014,acs5,place,"Allenville village, Missouri",76,76,0,0,29,,00748
2014,acs5,place,"Alma city, Missouri",375,368,0,7,29,,00802
2014,acs5,place,"Altamont village, Missouri",200,191,0,0,29,,00910
2014,acs5,place,"Altenburg city, Missouri",466,466,0,0,29,,00928
2014,acs5,place,"Alton city, Missouri",1173,1119,3,21,29,,00964
2014,acs5,place,"Amazonia village, Missouri",270,268,0,1,29,,01018
2014,acs5,place,"Amity town, Missouri",24,24,0,0,29,,01054
2014,acs5,place,"Amoret city, Missouri",195,163,0,32,29,,01072
2014,acs5,place,"Amsterdam city, Missouri",237,221,0,0,29,,01090
2014,acs5,place,"Anderson city, Missouri",2508,1598,23,459,29,,01198
2014,acs5,place,"Annada village, Missouri",52,49,0,0,29,,01252
2014,acs5,place,"Annapolis city, Missouri",420,404,8,0,29,,01270
2014,acs5,place,"Anniston town, Missouri",219,218,0,0,29,,01288
2014,acs5,place,"Appleton City city, Missouri",1334,1206,31,54,29,,01522
2014,acs5,place,"Arbela town, Missouri",22,22,0,0,29,,01576
2014,acs5,place,"Arbyrd city, Missouri",533,459,0,72,29,,01630
2014,acs5,place,"Arcadia city, Missouri",773,758,2,2,29,,01648
2014,acs5,place,"Archie city, Missouri",1339,1268,0,34,29,,01702
2014,acs5,place,"Arcola village, Missouri",45,45,0,0,29,,01720
2014,acs5,place,"Argyle town, Missouri",135,135,0,0,29,,01828
2014,acs5,place,"Arkoe town, Missouri",84,84,0,0,29,,01864
2014,acs5,place,"Armstrong city, Missouri",318,303,8,0,29,,01954
2014,acs5,place,"Arnold city, Missouri",21020,19817,11,629,29,,01972
2014,acs5,place,"Arrow Point village, Missouri",136,119,0,10,29,,02034
2014,acs5,place,"Arrow Rock town, Missouri",38,38,0,0,29,,02044
2014,acs5,place,"Asbury city, Missouri",152,142,0,5,29,,02098
2014,acs5,place,"Ash Grove city, Missouri",1421,1326,13,61,29,,02188
2014,acs5,place,"Ashburn town, Missouri",32,32,0,0,29,,02152
2014,acs5,place,"Ashland city, Missouri",3796,3704,16,11,29,,02242
2014,acs5,place,"Ashley CDP, Missouri",86,86,0,0,29,,02260
2014,acs5,place,"Atlanta city, Missouri",394,374,2,6,29,,02422
2014,acs5,place,"Augusta town, Missouri",289,283,0,6,29,,02512
2014,acs5,place,"Aullville village, Missouri",116,106,0,1,29,,02530
2014,acs5,place,"Aurora city, Missouri",7475,6585,2,615,29,,02548
2014,acs5,place,"Auxvasse city, Missouri",1009,930,0,22,29,,02638
2014,acs5,place,"Ava city, Missouri",2973,2863,0,56,29,,02674
2014,acs5,place,"Avilla town, Missouri",120,111,0,0,29,,02746
2014,acs5,place,"Avondale city, Missouri",493,430,17,33,29,,02800
2014,acs5,place,"Bagnell town, Missouri",88,86,0,0,29,,02962
2014,acs5,place,"Baker village, Missouri",0,0,0,0,29,,03034
2014,acs5,place,"Bakersfield village, Missouri",255,255,0,0,29,,03052
2014,acs5,place,"Baldwin Park village, Missouri",84,75,0,6,29,,03124
2014,acs5,place,"Ballwin city, Missouri",30478,26630,681,552,29,,03160
2014,acs5,place,"Baring city, Missouri",174,168,6,0,29,,03322
2014,acs5,place,"Barnard city, Missouri",276,259,5,2,29,,03340
2014,acs5,place,"Barnett city, Missouri",201,197,0,3,29,,03376
2014,acs5,place,"Barnhart CDP, Missouri",5746,5533,62,132,29,,03394
2014,acs5,place,"Bates City city, Missouri",243,243,0,0,29,,03556
2014,acs5,place,"Battlefield city, Missouri",5759,5203,85,161,29,,03592
2014,acs5,place,"Bel-Nor village, Missouri",1522,744,717,4,29,,04348
2014,acs5,place,"Bel-Ridge village, Missouri",2715,269,2297,40,29,,04366
2014,acs5,place,"Bell City city, Missouri",456,441,1,0,29,,04132
2014,acs5,place,"Bella Villa city, Missouri",822,759,16,38,29,,04114
2014,acs5,place,"Belle city, Missouri",1777,1728,12,32,29,,04150
2014,acs5,place,"Bellefontaine Neighbors city, Missouri",10823,2388,8105,128,29,,04222
2014,acs5,place,"Bellerive village, Missouri",203,100,100,0,29,,04240
2014,acs5,place,"Bellflower city, Missouri",347,334,0,3,29,,04330
2014,acs5,place,"Belton city, Missouri",23197,18818,1444,1864,29,,04384
2014,acs5,place,"Bennett Springs CDP, Missouri",156,148,0,8,29,,04525
2014,acs5,place,"Benton City village, Missouri",147,138,0,9,29,,04834
2014,acs5,place,"Benton city, Missouri",853,782,19,36,29,,04798
2014,acs5,place,"Berger city, Missouri",203,200,0,3,29,,04888
2014,acs5,place,"Berkeley city, Missouri",9120,1323,7280,237,29,,04906
2014,acs5,place,"Bernie city, Missouri",2071,1805,113,51,29,,04960
2014,acs5,place,"Bertrand city, Missouri",908,825,15,0,29,,04996
2014,acs5,place,"Bethany city, Missouri",3186,2922,58,137,29,,05068
2014,acs5,place,"Bethel village, Missouri",121,120,0,0,29,,05104
2014,acs5,place,"Beverly Hills city, Missouri",440,40,391,0,29,,05248
2014,acs5,place,"Bevier city, Missouri",600,586,10,0,29,,05266
2014,acs5,place,"Biehle CDP, Missouri",0,0,0,0,29,,05320
2014,acs5,place,"Big Lake village, Missouri",134,130,0,0,29,,05495
2014,acs5,place,"Big Spring CDP, Missouri",59,30,0,0,29,,05608
2014,acs5,place,"Bigelow village, Missouri",12,12,0,0,29,,05464
2014,acs5,place,"Billings city, Missouri",937,932,5,0,29,,05626
2014,acs5,place,"Birch Tree city, Missouri",639,567,0,70,29,,05734
2014,acs5,place,"Birmingham village, Missouri",233,224,0,8,29,,05824
2014,acs5,place,"Bismarck city, Missouri",1296,1259,0,10,29,,05878
2014,acs5,place,"Black Jack city, Missouri",6924,1210,5426,0,29,,06004
2014,acs5,place,"Blackburn city, Missouri",281,257,21,2,29,,05950
2014,acs5,place,"Blackwater city, Missouri",147,146,0,1,29,,06148
2014,acs5,place,"Blairstown city, Missouri",140,113,0,12,29,,06238
2014,acs5,place,"Blanchard CDP, Missouri",39,39,0,0,29,,06247
2014,acs5,place,"Bland city, Missouri",557,540,0,0,29,,06256
2014,acs5,place,"Blodgett village, Missouri",188,159,0,29,29,,06346
2014,acs5,place,"Bloomfield city, Missouri",1924,1875,28,11,29,,06382
2014,acs5,place,"Bloomsdale city, Missouri",563,543,9,3,29,,06454
2014,acs5,place,"Blue Eye town, Missouri",188,180,0,3,29,,06526
2014,acs5,place,"Blue Springs city, Missouri",53053,44106,3804,2242,29,,06652
2014,acs5,place,"Blythedale village, Missouri",185,183,0,0,29,,06742
2014,acs5,place,"Bogard city, Missouri",161,160,0,1,29,,06832
2014,acs5,place,"Bolckow city, Missouri",253,230,0,7,29,,06922
2014,acs5,place,"Bolivar city, Missouri",10443,9629,200,328,29,,06976
2014,acs5,place,"Bonne Terre city, Missouri",7025,4914,1763,72,29,,07102
2014,acs5,place,"Boonville city, Missouri",8320,6764,957,199,29,,07318
2014,acs5,place,"Bosworth city, Missouri",249,244,0,1,29,,07426
2014,acs5,place,"Bourbon city, Missouri",1659,1590,14,22,29,,07534
2014,acs5,place,"Bowling Green city, Missouri",5452,4634,548,115,29,,07660
2014,acs5,place,"Bragg City town, Missouri",149,149,0,0,29,,07876
2014,acs5,place,"Brandsville city, Missouri",132,127,0,0,29,,07948
2014,acs5,place,"Branson West city, Missouri",655,550,0,90,29,,07989
2014,acs5,place,"Branson city, Missouri",10942,9346,209,1050,29,,07966
2014,acs5,place,"Brashear city, Missouri",239,232,0,0,29,,08002
2014,acs5,place,"Braymer city, Missouri",749,724,7,13,29,,08038
2014,acs5,place,"Breckenridge Hills city, Missouri",4728,2396,1764,432,29,,08164
2014,acs5,place,"Breckenridge city, Missouri",263,234,9,3,29,,08128
2014,acs5,place,"Brentwood city, Missouri",8048,6935,268,205,29,,08236
2014,acs5,place,"Brewer CDP, Missouri",452,452,0,0,29,,08272
2014,acs5,place,"Bridgeton city, Missouri",11654,8191,2351,501,29,,08398
2014,acs5,place,"Brimson village, Missouri",60,59,0,0,29,,08470
2014,acs5,place,"Bronaugh city, Missouri",266,266,0,0,29,,08614
2014,acs5,place,"Brookfield city, Missouri",4462,4134,33,84,29,,08650
2014,acs5,place,"Brooklyn Heights town, Missouri",118,114,1,0,29,,08776
2014,acs5,place,"Browning city, Missouri",223,217,0,5,29,,08884
2014,acs5,place,"Brownington town, Missouri",88,87,0,0,29,,08902
2014,acs5,place,"Brumley town, Missouri",195,165,0,9,29,,08974
2014,acs5,place,"Brunswick city, Missouri",914,806,71,13,29,,09046
2014,acs5,place,"Bucklin city, Missouri",554,534,5,12,29,,09388
2014,acs5,place,"Buckner city, Missouri",3071,2849,7,99,29,,09424
2014,acs5,place,"Buffalo city, Missouri",3073,2873,2,95,29,,09514
2014,acs5,place,"Bull Creek village, Missouri",506,408,4,78,29,,09642
2014,acs5,place,"Bunceton city, Missouri",350,331,9,2,29,,09658
2014,acs5,place,"Bunker city, Missouri",432,394,13,0,29,,09694
2014,acs5,place,"Burgess town, Missouri",60,51,0,0,29,,09802
2014,acs5,place,"Burlington Junction city, Missouri",554,527,4,18,29,,09838
2014,acs5,place,"Butler city, Missouri",4112,3909,105,68,29,,10054
2014,acs5,place,"Butterfield village, Missouri",524,350,0,166,29,,10144
2014,acs5,place,"Byrnes Mill city, Missouri",2795,2739,0,12,29,,10240
2014,acs5,place,"Cabool city, Missouri",2410,2203,20,68,29,,10288
2014,acs5,place,"Cainsville city, Missouri",253,249,0,4,29,,10342
2014,acs5,place,"Cairo village, Missouri",322,303,0,18,29,,10360
2014,acs5,place,"Caledonia village, Missouri",196,196,0,0,29,,10432
2014,acs5,place,"Calhoun city, Missouri",373,367,0,0,29,,10450
2014,acs5,place,"California city, Missouri",4342,3773,55,482,29,,10468
2014,acs5,place,"Callao city, Missouri",351,351,0,0,29,,10486
2014,acs5,place,"Calverton Park village, Missouri",1220,757,351,17,29,,10612
2014,acs5,place,"Camden Point city, Missouri",482,471,0,8,29,,10792
2014,acs5,place,"Camden city, Missouri",237,236,0,0,29,,10738
2014,acs5,place,"Camdenton city, Missouri",3786,3396,33,217,29,,10810
2014,acs5,place,"Cameron city, Missouri",10008,7873,1409,224,29,,10828
2014,acs5,place,"Campbell city, Missouri",1929,1871,8,42,29,,10864
2014,acs5,place,"Canalou city, Missouri",339,336,0,3,29,,11026
2014,acs5,place,"Canton city, Missouri",2544,2367,65,5,29,,11134
2014,acs5,place,"Cape Girardeau city, Missouri",38665,30767,5043,920,29,,11242
2014,acs5,place,"Cardwell city, Missouri",598,569,0,10,29,,11350
2014,acs5,place,"Carl Junction city, Missouri",7511,7076,47,135,29,,11368
2014,acs5,place,"Carrollton city, Missouri",3652,3517,60,33,29,,11566
2014,acs5,place,"Carterville city, Missouri",1806,1608,4,123,29,,11638
2014,acs5,place,"Carthage city, Missouri",14281,9076,281,4491,29,,11656
2014,acs5,place,"Caruthersville city, Missouri",6086,3743,2110,146,29,,11692
2014,acs5,place,"Carytown city, Missouri",226,198,0,25,29,,11728
2014,acs5,place,"Cassville city, Missouri",3275,2884,11,259,29,,11890
2014,acs5,place,"Castle Point CDP, Missouri",3680,107,3373,0,29,,11908
2014,acs5,place,"Catron town, Missouri",71,46,7,9,29,,12052
2014,acs5,place,"Cave town, Missouri",1,1,0,0,29,,12079
2014,acs5,place,"Cedar Hill CDP, Missouri",1758,1729,0,0,29,,12358
2014,acs5,place,"Cedar Hill Lakes village, Missouri",191,182,2,3,29,,12376
2014,acs5,place,"Center city, Missouri",379,379,0,0,29,,12592
2014,acs5,place,"Centertown town, Missouri",282,266,0,4,29,,12664
2014,acs5,place,"Centerview city, Missouri",283,256,0,26,29,,12682
2014,acs5,place,"Centerville city, Missouri",248,234,10,0,29,,12718
2014,acs5,place,"Centralia city, Missouri",4125,3961,86,7,29,,12898
2014,acs5,place,"Chaffee city, Missouri",2958,2789,7,80,29,,12988
2014,acs5,place,"Chain of Rocks village, Missouri",128,128,0,0,29,,13006
2014,acs5,place,"Chain-O-Lakes village, Missouri",175,172,0,0,29,,13015
2014,acs5,place,"Chamois city, Missouri",360,353,0,3,29,,13060
2014,acs5,place,"Champ village, Missouri",11,11,0,0,29,,13078
2014,acs5,place,"Charlack city, Missouri",1274,648,549,0,29,,13330
2014,acs5,place,"Charleston city, Missouri",5905,2699,2990,88,29,,13366
2014,acs5,place,"Charmwood town, Missouri",0,0,0,0,29,,13390
2014,acs5,place,"Cherokee Pass CDP, Missouri",250,250,0,0,29,,13474
2014,acs5,place,"Chesapeake CDP, Missouri",49,49,0,0,29,,13582
2014,acs5,place,"Chesterfield city, Missouri",47651,39258,1683,1683,29,,13600
2014,acs5,place,"Chilhowee town, Missouri",231,205,0,0,29,,13654
2014,acs5,place,"Chillicothe city, Missouri",8528,8018,214,139,29,,13690
2014,acs5,place,"Chula city, Missouri",245,187,0,40,29,,13852
2014,acs5,place,"Clarence city, Missouri",886,857,6,13,29,,13978
2014,acs5,place,"Clark city, Missouri",344,339,3,0,29,,14068
2014,acs5,place,"Clarksburg city, Missouri",268,212,0,54,29,,14140
2014,acs5,place,"Clarksdale city, Missouri",307,303,0,3,29,,14158
2014,acs5,place,"Clarkson Valley city, Missouri",2638,2354,20,112,29,,14176
2014,acs5,place,"Clarksville city, Missouri",409,394,11,1,29,,14194
2014,acs5,place,"Clarkton city, Missouri",1141,794,208,122,29,,14212
2014,acs5,place,"Claycomo village, Missouri",1345,1174,6,133,29,,14554
2014,acs5,place,"Clayton city, Missouri",15912,11974,1387,492,29,,14572
2014,acs5,place,"Clearmont city, Missouri",200,192,0,0,29,,14662
2014,acs5,place,"Cleveland city, Missouri",643,598,0,8,29,,14770
2014,acs5,place,"Clever city, Missouri",2185,2062,40,56,29,,14788
2014,acs5,place,"Cliff Village village, Missouri",34,34,0,0,29,,14806
2014,acs5,place,"Clifton Hill city, Missouri",89,89,0,0,29,,14896
2014,acs5,place,"Climax Springs village, Missouri",114,112,2,0,29,,14914
2014,acs5,place,"Clinton city, Missouri",9014,8444,214,147,29,,14986
2014,acs5,place,"Clyde village, Missouri",123,122,0,1,29,,15130
2014,acs5,place,"Cobalt village, Missouri",224,216,0,0,29,,15220
2014,acs5,place,"Coffey city, Missouri",133,124,0,9,29,,15274
2014,acs5,place,"Cole Camp city, Missouri",1567,1534,0,31,29,,15436
2014,acs5,place,"Collins village, Missouri",141,136,0,4,29,,15562
2014,acs5,place,"Columbia city, Missouri",113155,86608,11852,3815,29,,15670
2014,acs5,place,"Commerce village, Missouri",42,36,6,0,29,,15760
2014,acs5,place,"Conception CDP, Missouri",231,206,3,9,29,,15886
2014,acs5,place,"Conception Junction town, Missouri",239,222,0,4,29,,15922
2014,acs5,place,"Concord CDP, Missouri",16645,16197,14,181,29,,16030
2014,acs5,place,"Concordia city, Missouri",2434,2332,1,47,29,,16102
2014,acs5,place,"Coney Island village, Missouri",71,62,0,0,29,,16115
2014,acs5,place,"Conway city, Missouri",1139,951,35,8,29,,16192
2014,acs5,place,"Cool Valley city, Missouri",1133,171,872,32,29,,16228
2014,acs5,place,"Cooter city, Missouri",442,417,0,20,29,,16336
2014,acs5,place,"Corder city, Missouri",366,349,0,12,29,,16408
2014,acs5,place,"Corning town, Missouri",4,4,0,0,29,,16462
2014,acs5,place,"Cosby village, Missouri",132,132,0,0,29,,16588
2014,acs5,place,"Cottleville city, Missouri",3492,3184,146,49,29,,16678
2014,acs5,place,"Country Club Hills city, Missouri",1415,72,1281,0,29,,16822
2014,acs5,place,"Country Club village, Missouri",2797,2496,59,162,29,,16802
2014,acs5,place,"Country Life Acres village, Missouri",128,113,0,7,29,,16876
2014,acs5,place,"Cowgill city, Missouri",153,151,0,0,29,,16984
2014,acs5,place,"Craig city, Missouri",199,190,1,1,29,,17056
2014,acs5,place,"Crane city, Missouri",1828,1694,0,87,29,,17074
2014,acs5,place,"Creighton city, Missouri",336,278,9,16,29,,17164
2014,acs5,place,"Crestwood city, Missouri",11934,10705,294,463,29,,17218
2014,acs5,place,"Creve Coeur city, Missouri",17841,13273,1332,482,29,,17272
2014,acs5,place,"Crocker city, Missouri",910,852,3,43,29,,17344
2014,acs5,place,"Cross Timbers city, Missouri",242,229,0,13,29,,17524
2014,acs5,place,"Crystal City city, Missouri",4841,4337,109,65,29,,17632
2014,acs5,place,"Crystal Lake Park city, Missouri",582,493,20,7,29,,17650
2014,acs5,place,"Crystal Lakes city, Missouri",406,392,2,6,29,,17660
2014,acs5,place,"Cuba city, Missouri",3372,3276,3,93,29,,17668
2014,acs5,place,"Curryville city, Missouri",181,171,5,0,29,,17902
2014,acs5,place,"Dadeville village, Missouri",258,234,0,9,29,,17992
2014,acs5,place,"Dalton town, Missouri",20,10,10,0,29,,18118
2014,acs5,place,"Danville CDP, Missouri",44,44,0,0,29,,18190
2014,acs5,place,"Dardenne Prairie city, Missouri",12116,10888,562,332,29,,18253
2014,acs5,place,"Darlington village, Missouri",114,109,0,0,29,,18316
2014,acs5,place,"Dawn CDP, Missouri",75,75,0,0,29,,18496
2014,acs5,place,"De Kalb town, Missouri",205,197,0,0,29,,18946
2014,acs5,place,"De Soto city, Missouri",6449,6092,141,100,29,,19252
2014,acs5,place,"De Witt city, Missouri",78,75,0,0,29,,19378
2014,acs5,place,"Dearborn city, Missouri",480,417,3,32,29,,18658
2014,acs5,place,"Deepwater city, Missouri",367,332,4,28,29,,18730
2014,acs5,place,"Deerfield village, Missouri",68,68,0,0,29,,18802
2014,acs5,place,"Defiance CDP, Missouri",147,147,0,0,29,,18910
2014,acs5,place,"Dellwood city, Missouri",5010,830,4045,0,29,,19018
2014,acs5,place,"Delta city, Missouri",478,470,0,0,29,,19072
2014,acs5,place,"Dennis Acres village, Missouri",61,61,0,0,29,,19090
2014,acs5,place,"Denver village, Missouri",59,59,0,0,29,,19162
2014,acs5,place,"Des Arc village, Missouri",208,208,0,0,29,,19198
2014,acs5,place,"Des Peres city, Missouri",8443,8109,83,69,29,,19270
2014,acs5,place,"Desloge city, Missouri",4969,4857,42,0,29,,19216
2014,acs5,place,"Dexter city, Missouri",7902,7659,10,91,29,,19396
2014,acs5,place,"Diamond town, Missouri",900,859,0,0,29,,19432
2014,acs5,place,"Diehlstadt village, Missouri",193,191,2,0,29,,19486
2014,acs5,place,"Diggins village, Missouri",274,266,1,0,29,,19504
2014,acs5,place,"Dixon city, Missouri",1452,1245,2,110,29,,19630
2014,acs5,place,"Doe Run CDP, Missouri",962,962,0,0,29,,19684
2014,acs5,place,"Doniphan city, Missouri",2546,2452,1,35,29,,19792
2014,acs5,place,"Doolittle city, Missouri",640,618,2,0,29,,19828
2014,acs5,place,"Dover town, Missouri",99,87,0,12,29,,19918
2014,acs5,place,"Downing city, Missouri",262,260,0,1,29,,19990
