agency,county,geo_type,agency_type,hisp_stops_2020,hisp_stops_2024,total_stops_2024,stop_change_pct,hisp_arrest_rate,white_arrest_rate,arrest_ratio,hisp_search_rate,white_search_rate,search_ratio,discretionary_share,ever_commented,comment_years,has_287g,g287_type,g287_date,cluster
UCM-Dept of Public Safety,"Warrensburg city, Missouri",place,university,11,41,1175,272.7,4.88,3.98,1.23,4.88,4.31,1.13,39.1,False,0,False,,,Other
Ladue Police Dept,"Ladue city, Missouri",place,municipal_police,8,32,2796,300.0,0.0,0.75,0.0,0.0,0.7,0.0,28.6,True,3,False,,,Other
Cooper County Sheriff's Dept,"Cooper County, Missouri",county,county_sheriff,5,41,1233,720.0,4.88,4.49,1.09,9.76,11.58,0.84,60.7,False,0,False,,,Cooper County
Clinton Police Dept,"Clinton city, Missouri",place,municipal_police,53,64,2229,20.8,0.0,1.14,0.0,1.56,1.2,1.3,23.4,True,2,False,,,Other
Daviess County Sheriff's Dept,"Daviess County, Missouri",county,county_sheriff,34,21,661,-38.2,23.81,2.17,10.97,14.29,1.67,8.56,9.1,False,0,False,,,Daviess County
Andrew County Sheriff's Dept,"Andrew County, Missouri",county,county_sheriff,24,55,1819,129.2,5.45,3.21,1.7,7.27,7.73,0.94,32.1,True,2,False,,,Andrew County
Cuba Police Dept,"Cuba city, Missouri",place,municipal_police,52,21,894,-59.6,4.76,1.33,3.58,9.52,2.54,3.75,36.4,True,1,False,,,Other
Neosho Police Dept,"Neosho city, Missouri",place,municipal_police,57,267,2786,368.4,6.37,2.83,2.25,7.87,3.63,2.17,35.0,False,0,False,,,SW Missouri
Carterville Police Dept,"Carterville city, Missouri",place,municipal_police,57,24,989,-57.9,0.0,0.54,0.0,4.17,3.24,1.29,29.2,False,0,False,,,Other
Kansas City Police Dept,"Kansas City city, Missouri",place,municipal_police,2736,2623,38096,-4.1,4.99,1.66,3.01,2.29,0.87,2.63,49.8,True,3,False,,,KC Metro (Jackson/Clay)
Lee's Summit Police Dept,"Lee's Summit city, Missouri",place,municipal_police,52,418,24761,703.8,2.87,2.53,1.13,1.44,1.66,0.87,67.9,True,2,False,,,KC Metro (Jackson/Clay)
Miner Police Dept,"Miner city, Missouri",place,municipal_police,21,31,1589,47.6,12.9,3.9,3.31,12.9,5.17,2.5,53.1,False,0,False,,,Other
Pleasant Valley Police Dept,"Pleasant Valley city, Missouri",place,municipal_police,86,148,2219,72.1,3.38,1.5,2.25,8.11,5.03,1.61,64.8,False,0,False,,,Other
Lake Lotawana Police Dept,"Lake Lotawana city, Missouri",place,municipal_police,29,46,1250,58.6,0.0,1.57,0.0,0.0,0.83,0.0,43.5,False,0,False,,,Other
Miller County Sheriff's Dept,"Miller County, Missouri",county,county_sheriff,15,34,1638,126.7,20.59,5.54,3.72,29.41,13.63,2.16,52.6,False,0,False,,,Miller County
Liberty Police Dept,"Liberty city, Missouri",place,municipal_police,35,76,3963,117.1,1.32,5.83,0.23,1.32,2.82,0.47,53.1,False,0,False,,,Other
Platte City Police Dept,"Platte City city, Missouri",place,municipal_police,17,34,569,100.0,2.94,1.05,2.8,2.94,1.26,2.33,20.5,False,0,False,,,Other
Waynesville Police Dept,"Waynesville city, Missouri",place,municipal_police,139,191,3343,37.4,2.62,3.19,0.82,2.09,1.37,1.53,26.3,True,2,False,,,Other
Carthage Police Dept,"Carthage city, Missouri",place,municipal_police,301,691,6309,129.6,18.96,7.33,2.59,11.58,6.46,1.79,36.6,False,0,False,,,SW Missouri
Boonville Police Dept,"Boonville city, Missouri",place,municipal_police,20,30,1431,50.0,10.0,4.11,2.43,6.67,6.17,1.08,46.9,False,0,False,,,Other
Belton Police Dept,"Belton city, Missouri",place,municipal_police,203,222,3811,9.4,33.33,10.86,3.07,20.27,7.49,2.71,87.4,False,0,False,,,Other
Platte County Sheriff's Dept,"Platte County, Missouri",county,county_sheriff,5,21,9192,320.0,9.52,7.5,1.27,9.52,4.29,2.22,50.0,True,3,False,,,Platte County
Linn Creek Police Dept,"Linn Creek city, Missouri",place,municipal_police,9,30,987,233.3,0.0,1.59,0.0,0.0,3.18,0.0,21.9,True,1,False,,,Other
Columbia Police Dept,"Columbia city, Missouri",place,municipal_police,148,302,11853,104.1,11.59,3.81,3.04,7.95,3.43,2.32,58.6,True,1,False,,,Boone County
Overland Police Dept,"Overland city, Missouri",place,municipal_police,45,76,1621,68.9,13.16,3.87,3.4,13.16,2.63,5.0,46.4,False,0,False,,,St. Louis County
St Clair Police Dept,"St Clair city, Missouri",place,municipal_police,11,27,1599,145.5,3.7,3.76,0.98,3.7,4.09,0.9,39.3,False,0,False,,,Other
Bowling Green Police Dept,"Bowling Green city, Missouri",place,municipal_police,9,46,1544,411.1,8.7,3.76,2.31,15.22,9.37,1.62,47.1,False,0,False,,,Other
Tipton Police Dept,"Tipton city, Missouri",place,municipal_police,8,49,1230,512.5,0.0,1.32,0.0,6.12,4.79,1.28,58.9,False,0,False,,,Other
Brookfield Police Dept,"Brookfield city, Missouri",place,municipal_police,30,46,1826,53.3,0.0,0.89,0.0,4.35,3.86,1.13,22.0,False,0,False,,,Other
Phelps County Sheriff's Dept,"Phelps County, Missouri",county,county_sheriff,49,111,3413,126.5,5.41,4.5,1.2,20.72,8.84,2.34,24.3,False,0,True,task_force,2025-10,Phelps County
Sedalia Police Dept,"Sedalia city, Missouri",place,municipal_police,311,619,6834,99.0,19.22,6.99,2.75,12.44,6.58,1.89,53.6,False,0,False,,,Other
Houston Police Dept,"Houston city, Missouri",place,municipal_police,17,34,1903,100.0,8.82,2.93,3.01,11.76,4.87,2.41,37.8,False,0,False,,,Other
Pleasant Hill Police Dept,"Pleasant Hill city, Missouri",place,municipal_police,26,44,1705,69.2,25.0,2.19,11.42,4.55,1.03,4.42,47.7,False,0,False,,,Other
Glendale Police Dept,"Glendale city, Missouri",place,municipal_police,14,25,883,78.6,0.0,0.44,0.0,0.0,0.15,0.0,35.7,False,0,False,,,Other
Lamar Police Dept,"Lamar city, Missouri",place,municipal_police,21,24,840,14.3,4.17,1.61,2.59,4.17,4.22,0.99,57.1,False,0,False,,,Other
Aurora Police Dept,"Aurora city, Missouri",place,municipal_police,57,86,1931,50.9,1.16,4.32,0.27,2.33,5.93,0.39,58.7,True,2,False,,,SW Missouri
Lafayette County Sheriff's Dept,"Lafayette County, Missouri",county,county_sheriff,45,124,2757,175.6,0.81,0.58,1.4,2.42,3.58,0.68,54.8,True,1,False,,,Lafayette County
Festus Police Dept,"Festus city, Missouri",place,municipal_police,22,32,3156,45.5,9.38,1.95,4.81,15.62,3.42,4.57,47.1,False,0,False,,,Other
Osceola Police Dept,"Osceola city, Missouri",place,municipal_police,13,26,711,100.0,0.0,4.69,0.0,3.85,15.08,0.26,3.8,False,0,False,,,Other
St Joseph Police Dept,"St Joseph city, Missouri",place,municipal_police,471,813,9885,72.6,2.95,3.02,0.98,2.21,2.33,0.95,65.9,False,0,False,,,Other
Sparta Police Dept,"Sparta city, Missouri",place,municipal_police,9,22,1293,144.4,4.55,2.1,2.17,4.55,1.13,4.03,34.8,False,0,False,,,Other
Moberly Police Dept,"Moberly city, Missouri",place,municipal_police,11,36,2107,227.3,11.11,4.47,2.49,5.56,8.0,0.69,47.2,False,0,False,,,Other
Gladstone Dept of Public Safety,"Gladstone city, Missouri",place,municipal_police,115,190,4569,65.2,3.68,4.32,0.85,0.53,1.88,0.28,61.7,True,4,False,,,KC Metro (Jackson/Clay)
Rogersville Police Dept,"Rogersville city, Missouri",place,municipal_police,28,26,1658,-7.1,0.0,1.57,0.0,0.0,1.44,0.0,34.6,True,1,False,,,Other
Seymour Police Dept,"Seymour city, Missouri",place,municipal_police,10,24,1222,140.0,0.0,1.21,0.0,8.33,5.0,1.67,46.4,False,0,False,,,Other
Cameron Police Dept,"Cameron city, Missouri",place,municipal_police,28,93,3320,232.1,3.23,2.75,1.17,2.15,1.91,1.13,40.4,False,0,False,,,Other
Lawrence County Sheriff's Dept,"Lawrence County, Missouri",county,county_sheriff,90,210,2817,133.3,6.19,3.6,1.72,5.24,2.56,2.05,29.4,False,0,False,,,Lawrence County
Weatherby Lake Police Dept,"Weatherby Lake city, Missouri",place,municipal_police,28,100,727,257.1,0.0,0.19,0.0,0.0,0.19,0.0,14.0,True,3,False,,,Other
Newton County Sheriff's Dept,"Newton County, Missouri",county,county_sheriff,181,194,4547,7.2,3.09,4.97,0.62,5.15,5.18,0.99,47.2,False,0,False,,,Newton County
Webster Groves Police Dept,"Webster Groves city, Missouri",place,municipal_police,14,67,3487,378.6,2.99,0.94,3.18,4.48,0.77,5.82,51.8,True,1,False,,,St. Louis County
