agency,county,geo_type,agency_type,hisp_stops_2020,hisp_stops_2024,total_stops_2024,stop_change_pct,hisp_arrest_rate,white_arrest_rate,arrest_ratio,hisp_search_rate,white_search_rate,search_ratio,discretionary_share,ever_commented,comment_years,has_287g,g287_type,g287_date,cluster
Hallsville Police Dept,"Hallsville city, Missouri",place,municipal_police,6,47,1486,683.3,4.26,0.55,7.75,12.77,2.9,4.4,56.2,False,0,False,,,Other
Herculaneum Police Dept,"Herculaneum city, Missouri",place,municipal_police,10,34,2394,240.0,0.0,1.18,0.0,0.0,1.84,0.0,28.6,False,0,False,,,Other
Cassville Police Dept,"Cassville city, Missouri",place,municipal_police,24,98,1695,308.3,2.04,2.54,0.8,0.0,1.04,0.0,40.6,False,0,False,,,SW Missouri
Rolla Police Dept,"Rolla city, Missouri",place,municipal_police,48,60,3699,25.0,13.33,5.9,2.26,13.33,5.99,2.23,45.2,False,0,False,,,Other
Springfield Police Dept,"Springfield city, Missouri",place,municipal_police,617,879,19411,42.5,4.21,3.08,1.37,12.17,9.43,1.29,48.1,False,0,False,,,SW Missouri
Missouri State Highway Patrol,Missouri,state,state_patrol,10106,14569,312976,44.2,5.13,2.7,1.9,6.2,3.19,1.94,20.4,False,0,True,task_force,2025-03,Statewide
Holts Summit Police Dept,"Holts Summit city, Missouri",place,municipal_police,26,30,712,15.4,10.0,2.06,4.85,36.67,8.4,4.37,53.3,True,2,False,,,Other
Parkville Police Dept,"Parkville city, Missouri",place,municipal_police,49,88,1213,79.6,14.77,2.51,5.88,14.77,2.51,5.88,47.9,False,0,False,,,Other
Lake Ozark Police Dept,"Lake Ozark city, Missouri",place,municipal_police,37,45,1732,21.6,13.33,3.77,3.54,8.89,9.2,0.97,31.1,False,0,False,,,SW Missouri
Doolittle Police Dept,"Doolittle city, Missouri",place,municipal_police,21,25,519,19.0,0.0,1.35,0.0,12.0,4.97,2.41,12.0,True,1,False,,,Other
Audrain County Sheriff's Dept,"Audrain County, Missouri",county,county_sheriff,21,24,680,14.3,33.33,11.93,2.79,16.67,9.76,1.71,48.0,False,0,False,,,Audrain County
Milan Police Dept,"Milan city, Missouri",place,municipal_police,34,62,283,82.4,3.23,3.98,0.81,3.23,3.48,0.93,31.7,False,0,False,,,Other
Marshall Police Dept,"Marshall city, Missouri",place,municipal_police,304,294,2012,-3.3,5.44,4.26,1.28,2.04,2.41,0.85,39.4,False,0,False,,,Other
Crane Police Dept,"Crane city, Missouri",place,municipal_police,20,21,531,5.0,0.0,1.41,0.0,0.0,2.21,0.0,30.0,False,0,False,,,Other
Jefferson City Police Dept,"Jefferson City city, Missouri",place,municipal_police,74,323,12674,336.5,0.62,0.78,0.79,9.6,6.67,1.44,55.7,False,0,False,,,I-70 Corridor
Mountain Grove Police Dept,"Mountain Grove city, Missouri",place,municipal_police,16,31,2243,93.8,3.23,2.51,1.29,6.45,5.3,1.22,56.2,False,0,False,,,Other
Greene County Sheriff's Dept,"Greene County, Missouri",county,county_sheriff,339,701,17936,106.8,5.28,3.08,1.71,6.42,5.44,1.18,53.9,True,2,False,,,Greene County
Olivette Police Dept,"Olivette city, Missouri",place,municipal_police,15,73,1697,386.7,2.74,0.91,3.01,1.37,1.36,1.01,59.7,True,1,False,,,Other
Ballwin Police Dept,"Ballwin city, Missouri",place,municipal_police,12,109,7221,808.3,5.5,0.67,8.21,2.75,0.52,5.29,46.7,False,0,False,,,St. Louis County
Lexington Police Dept,"Lexington city, Missouri",place,municipal_police,25,20,467,-20.0,5.0,4.71,1.06,5.0,2.48,2.02,47.1,False,0,False,,,Other
Maplewood Police Dept,"Maplewood city, Missouri",place,municipal_police,14,55,1787,292.9,1.82,0.71,2.56,0.0,0.5,0.0,57.1,False,0,False,,,St. Louis County
Marion County Sheriff's Dept,"Marion County, Missouri",county,county_sheriff,25,55,1204,120.0,1.82,3.26,0.56,7.27,4.25,1.71,47.5,False,0,False,,,Marion County
St Ann Police Dept,"St Ann city, Missouri",place,municipal_police,32,275,4634,759.4,29.45,12.68,2.32,32.73,17.12,1.91,63.4,False,0,False,,,St. Louis County
Fulton Police Dept,"Fulton city, Missouri",place,municipal_police,19,30,3029,57.9,3.33,4.98,0.67,0.0,6.3,0.0,53.3,False,0,False,,,Other
Kimberling City Police Dept,"Kimberling City city, Missouri",place,municipal_police,18,48,1609,166.7,22.92,3.56,6.44,18.75,5.53,3.39,34.5,False,0,False,,,Other
Riverside Police Dept,"Riverside city, Missouri",place,municipal_police,251,168,3677,-33.1,5.36,7.3,0.73,3.57,6.43,0.56,72.6,True,4,False,,,Other
St Charles Police Dept,"St Charles city, Missouri",place,municipal_police,68,358,10834,426.5,22.91,6.68,3.43,12.85,5.92,2.17,63.7,False,0,False,,,St. Charles County
Pacific Police Dept,"Pacific city, Missouri",place,municipal_police,11,54,2867,390.9,0.0,4.18,0.0,3.7,3.42,1.08,76.8,False,0,False,,,Other
Blue Springs Police Dept,"Blue Springs city, Missouri",place,municipal_police,63,304,10102,382.5,0.99,2.81,0.35,0.66,1.79,0.37,75.5,True,5,False,,,KC Metro (Jackson/Clay)
Creve Coeur Police Dept,"Creve Coeur city, Missouri",place,municipal_police,57,141,6828,147.4,6.38,2.45,2.6,4.96,2.07,2.4,33.8,True,3,False,,,St. Louis County
Bridgeton Police Dept,"Bridgeton city, Missouri",place,municipal_police,54,155,3655,187.0,1.94,2.58,0.75,1.29,3.88,0.33,66.3,True,5,False,,,St. Louis County
Callaway County Sheriff's Dept,"Callaway County, Missouri",county,county_sheriff,38,55,2854,44.7,7.27,8.37,0.87,12.73,14.84,0.86,67.3,False,0,False,,,Callaway County
Joplin Police Dept,"Joplin city, Missouri",place,municipal_police,268,449,12648,67.5,4.9,7.7,0.64,5.79,6.9,0.84,54.2,False,0,False,,,SW Missouri
