Agency,Region,Year,Stops,Indexed
Fulton Police Dept,Central,2017,3244,85.8
Fulton Police Dept,Central,2018,2250,59.5
Fulton Police Dept,Central,2019,2057,54.4
Fulton Police Dept,Central,2020,1111,29.4
Fulton Police Dept,Central,2021,1773,46.9
Fulton Police Dept,Central,2022,1720,45.5
Fulton Police Dept,Central,2023,1499,39.6
Fulton Police Dept,Central,2024,2348,62.1
Gasconade County Sheriff's Dept,Central,2014,706,100.0
Gasconade County Sheriff's Dept,Central,2015,650,92.1
Gasconade County Sheriff's Dept,Central,2016,868,122.9
Gasconade County Sheriff's Dept,Central,2017,393,55.7
Gasconade County Sheriff's Dept,Central,2018,776,109.9
Gasconade County Sheriff's Dept,Central,2019,719,101.8
Gasconade County Sheriff's Dept,Central,2020,217,30.7
Gasconade County Sheriff's Dept,Central,2021,384,54.4
Gasconade County Sheriff's Dept,Central,2022,486,68.8
Gasconade County Sheriff's Dept,Central,2023,1481,209.8
Gasconade County Sheriff's Dept,Central,2024,1843,261.0
Hallsville Police Dept,Central,2014,929,100.0
Hallsville Police Dept,Central,2015,228,24.5
Hallsville Police Dept,Central,2016,171,18.4
Hallsville Police Dept,Central,2017,359,38.6
Hallsville Police Dept,Central,2018,503,54.1
Hallsville Police Dept,Central,2019,650,70.0
Hallsville Police Dept,Central,2020,510,54.9
Hallsville Police Dept,Central,2021,369,39.7
Hallsville Police Dept,Central,2022,403,43.4
Hallsville Police Dept,Central,2023,519,55.9
Hallsville Police Dept,Central,2024,1277,137.5
Jefferson City Police Dept,Central,2014,9868,100.0
Jefferson City Police Dept,Central,2015,12104,122.7
Jefferson City Police Dept,Central,2016,10103,102.4
Jefferson City Police Dept,Central,2017,10804,109.5
Jefferson City Police Dept,Central,2018,8942,90.6
Jefferson City Police Dept,Central,2019,7415,75.1
Jefferson City Police Dept,Central,2020,5461,55.3
Jefferson City Police Dept,Central,2021,5137,52.1
Jefferson City Police Dept,Central,2022,5485,55.6
Jefferson City Police Dept,Central,2023,6572,66.6
Jefferson City Police Dept,Central,2024,8383,85.0
Maries County Sheriff's Dept,Central,2014,520,100.0
Maries County Sheriff's Dept,Central,2015,855,164.4
Maries County Sheriff's Dept,Central,2016,705,135.6
Maries County Sheriff's Dept,Central,2017,770,148.1
Maries County Sheriff's Dept,Central,2018,843,162.1
Maries County Sheriff's Dept,Central,2019,916,176.2
Maries County Sheriff's Dept,Central,2020,1156,222.3
Maries County Sheriff's Dept,Central,2022,1123,216.0
Maries County Sheriff's Dept,Central,2023,1538,295.8
Maries County Sheriff's Dept,Central,2024,35,6.7
Miller County Sheriff's Dept,Central,2014,808,100.0
Miller County Sheriff's Dept,Central,2015,719,89.0
Miller County Sheriff's Dept,Central,2016,1068,132.2
Miller County Sheriff's Dept,Central,2017,1271,157.3
Miller County Sheriff's Dept,Central,2018,1693,209.5
Miller County Sheriff's Dept,Central,2019,2137,264.5
Miller County Sheriff's Dept,Central,2020,1651,204.3
Miller County Sheriff's Dept,Central,2021,1262,156.2
Miller County Sheriff's Dept,Central,2022,1404,173.8
Miller County Sheriff's Dept,Central,2023,1692,209.4
Miller County Sheriff's Dept,Central,2024,1497,185.3
Moniteau County Sheriff's Dept,Central,2014,104,100.0
Moniteau County Sheriff's Dept,Central,2015,160,153.8
Moniteau County Sheriff's Dept,Central,2016,152,146.2
Moniteau County Sheriff's Dept,Central,2017,674,648.1
Moniteau County Sheriff's Dept,Central,2018,1039,999.0
Moniteau County Sheriff's Dept,Central,2019,1121,1077.9
Moniteau County Sheriff's Dept,Central,2020,492,473.1
Moniteau County Sheriff's Dept,Central,2021,716,688.5
Moniteau County Sheriff's Dept,Central,2022,625,601.0
Moniteau County Sheriff's Dept,Central,2023,1308,1257.7
Moniteau County Sheriff's Dept,Central,2024,1001,962.5
Morgan County Sheriff's Dept,Central,2014,412,100.0
Morgan County Sheriff's Dept,Central,2015,391,94.9
Morgan County Sheriff's Dept,Central,2016,668,162.1
Morgan County Sheriff's Dept,Central,2017,961,233.3
Morgan County Sheriff's Dept,Central,2018,1111,269.7
Morgan County Sheriff's Dept,Central,2019,983,238.6
Morgan County Sheriff's Dept,Central,2020,349,84.7
Morgan County Sheriff's Dept,Central,2021,671,162.9
Morgan County Sheriff's Dept,Central,2022,852,206.8
Morgan County Sheriff's Dept,Central,2023,654,158.7
Morgan County Sheriff's Dept,Central,2024,1376,334.0
Osage County Sheriff's Dept,Central,2014,414,100.0
Osage County Sheriff's Dept,Central,2015,636,153.6
Osage County Sheriff's Dept,Central,2016,303,73.2
Osage County Sheriff's Dept,Central,2017,418,101.0
Osage County Sheriff's Dept,Central,2018,206,49.8
Osage County Sheriff's Dept,Central,2019,601,145.2
Osage County Sheriff's Dept,Central,2020,464,112.1
Osage County Sheriff's Dept,Central,2021,529,127.8
Osage County Sheriff's Dept,Central,2022,512,123.7
Osage County Sheriff's Dept,Central,2023,1328,320.8
Osage County Sheriff's Dept,Central,2024,1328,320.8
Owensville Police Dept,Central,2014,468,100.0
Owensville Police Dept,Central,2015,501,107.1
Owensville Police Dept,Central,2016,759,162.2
Owensville Police Dept,Central,2017,967,206.6
Owensville Police Dept,Central,2018,449,95.9
Owensville Police Dept,Central,2019,262,56.0
Owensville Police Dept,Central,2020,183,39.1
Owensville Police Dept,Central,2021,259,55.3
Owensville Police Dept,Central,2022,261,55.8
Owensville Police Dept,Central,2023,549,117.3
Owensville Police Dept,Central,2024,811,173.3
Phelps County Sheriff's Dept,Central,2014,1382,100.0
Phelps County Sheriff's Dept,Central,2015,2587,187.2
Phelps County Sheriff's Dept,Central,2016,3911,283.0
Phelps County Sheriff's Dept,Central,2017,3118,225.6
Phelps County Sheriff's Dept,Central,2018,1677,121.3
Phelps County Sheriff's Dept,Central,2019,2364,171.1
Phelps County Sheriff's Dept,Central,2020,2708,195.9
Phelps County Sheriff's Dept,Central,2021,3572,258.5
Phelps County Sheriff's Dept,Central,2022,2816,203.8
Phelps County Sheriff's Dept,Central,2023,3323,240.4
Phelps County Sheriff's Dept,Central,2024,3020,218.5
Pulaski County Sheriff's Dept,Central,2014,470,100.0
Pulaski County Sheriff's Dept,Central,2015,465,98.9
Pulaski County Sheriff's Dept,Central,2016,442,94.0
Pulaski County Sheriff's Dept,Central,2017,237,50.4
Pulaski County Sheriff's Dept,Central,2018,406,86.4
Pulaski County Sheriff's Dept,Central,2019,452,96.2
Pulaski County Sheriff's Dept,Central,2020,206,43.8
Pulaski County Sheriff's Dept,Central,2021,231,49.1
Pulaski County Sheriff's Dept,Central,2022,107,22.8
Pulaski County Sheriff's Dept,Central,2023,162,34.5
Rolla Police Dept,Central,2014,4744,100.0
Rolla Police Dept,Central,2015,3447,72.7
Rolla Police Dept,Central,2016,5098,107.5
Rolla Police Dept,Central,2017,3949,83.2
Rolla Police Dept,Central,2018,3930,82.8
Rolla Police Dept,Central,2019,3370,71.0
Rolla Police Dept,Central,2020,2923,61.6
Rolla Police Dept,Central,2021,3606,76.0
Rolla Police Dept,Central,2022,3807,80.2
Rolla Police Dept,Central,2023,2799,59.0
Rolla Police Dept,Central,2024,3221,67.9
Salem Police Dept,Central,2014,662,100.0
Salem Police Dept,Central,2015,545,82.3
Salem Police Dept,Central,2016,397,60.0
Salem Police Dept,Central,2017,376,56.8
Salem Police Dept,Central,2018,532,80.4
Salem Police Dept,Central,2019,314,47.4
Salem Police Dept,Central,2020,707,106.8
Salem Police Dept,Central,2021,766,115.7
Salem Police Dept,Central,2022,886,133.8
Salem Police Dept,Central,2023,782,118.1
St James Police Dept,Central,2014,1898,100.0
St James Police Dept,Central,2015,1790,94.3
St James Police Dept,Central,2016,1770,93.3
St James Police Dept,Central,2017,1729,91.1
St James Police Dept,Central,2018,1769,93.2
St James Police Dept,Central,2019,1707,89.9
St James Police Dept,Central,2020,866,45.6
St James Police Dept,Central,2021,918,48.4
St James Police Dept,Central,2022,1777,93.6
St James Police Dept,Central,2023,1585,83.5
St James Police Dept,Central,2024,1528,80.5
St Robert Police Dept,Central,2014,2341,100.0
St Robert Police Dept,Central,2015,1525,65.1
St Robert Police Dept,Central,2017,2437,104.1
St Robert Police Dept,Central,2018,2367,101.1
St Robert Police Dept,Central,2019,1935,82.7
St Robert Police Dept,Central,2020,1829,78.1
St Robert Police Dept,Central,2021,2250,96.1
St Robert Police Dept,Central,2022,1784,76.2
St Robert Police Dept,Central,2023,1453,62.1
St Robert Police Dept,Central,2024,2079,88.8
Sturgeon Police Dept,Central,2014,416,100.0
Sturgeon Police Dept,Central,2015,331,79.6
Sturgeon Police Dept,Central,2016,230,55.3
Sturgeon Police Dept,Central,2017,96,23.1
Sturgeon Police Dept,Central,2018,293,70.4
Sturgeon Police Dept,Central,2019,482,115.9
Sturgeon Police Dept,Central,2020,341,82.0
Sturgeon Police Dept,Central,2022,86,20.7
Sturgeon Police Dept,Central,2023,439,105.5
Sunrise Beach Police Dept,Central,2014,1459,100.0
Sunrise Beach Police Dept,Central,2015,1241,85.1
Sunrise Beach Police Dept,Central,2017,1150,78.8
Sunrise Beach Police Dept,Central,2018,664,45.5
Sunrise Beach Police Dept,Central,2019,975,66.8
Sunrise Beach Police Dept,Central,2020,700,48.0
Sunrise Beach Police Dept,Central,2021,632,43.3
Sunrise Beach Police Dept,Central,2022,548,37.6
Sunrise Beach Police Dept,Central,2023,574,39.3
Sunrise Beach Police Dept,Central,2024,1012,69.4
Versailles Police Dept,Central,2014,517,100.0
Versailles Police Dept,Central,2015,576,111.4
Versailles Police Dept,Central,2016,459,88.8
Versailles Police Dept,Central,2017,506,97.9
Versailles Police Dept,Central,2018,499,96.5
