Agency,Region,Year,Stops,Indexed
Hallsville Police Dept,Central,2014,57,100.0
Hallsville Police Dept,Central,2015,26,45.6
Hallsville Police Dept,Central,2016,11,19.3
Hallsville Police Dept,Central,2017,29,50.9
Hallsville Police Dept,Central,2018,36,63.2
Hallsville Police Dept,Central,2019,41,71.9
Hallsville Police Dept,Central,2020,33,57.9
Hallsville Police Dept,Central,2021,24,42.1
Hallsville Police Dept,Central,2022,33,57.9
Hallsville Police Dept,Central,2023,48,84.2
Hallsville Police Dept,Central,2024,146,256.1
Jefferson City Police Dept,Central,2014,3011,100.0
Jefferson City Police Dept,Central,2015,4851,161.1
Jefferson City Police Dept,Central,2016,4616,153.3
Jefferson City Police Dept,Central,2017,4545,150.9
Jefferson City Police Dept,Central,2018,3580,118.9
Jefferson City Police Dept,Central,2019,3332,110.7
Jefferson City Police Dept,Central,2020,2481,82.4
Jefferson City Police Dept,Central,2021,2334,77.5
Jefferson City Police Dept,Central,2022,2562,85.1
Jefferson City Police Dept,Central,2023,3178,105.5
Jefferson City Police Dept,Central,2024,3775,125.4
Miller County Sheriff's Dept,Central,2014,11,100.0
Miller County Sheriff's Dept,Central,2015,17,154.5
Miller County Sheriff's Dept,Central,2016,21,190.9
Miller County Sheriff's Dept,Central,2017,43,390.9
Miller County Sheriff's Dept,Central,2018,45,409.1
Miller County Sheriff's Dept,Central,2019,69,627.3
Miller County Sheriff's Dept,Central,2020,51,463.6
Miller County Sheriff's Dept,Central,2021,39,354.5
Miller County Sheriff's Dept,Central,2022,57,518.2
Miller County Sheriff's Dept,Central,2023,69,627.3
Miller County Sheriff's Dept,Central,2024,79,718.2
Phelps County Sheriff's Dept,Central,2014,65,100.0
Phelps County Sheriff's Dept,Central,2015,120,184.6
Phelps County Sheriff's Dept,Central,2016,200,307.7
Phelps County Sheriff's Dept,Central,2017,185,284.6
Phelps County Sheriff's Dept,Central,2018,77,118.5
Phelps County Sheriff's Dept,Central,2019,113,173.8
Phelps County Sheriff's Dept,Central,2020,139,213.8
Phelps County Sheriff's Dept,Central,2021,183,281.5
Phelps County Sheriff's Dept,Central,2022,228,350.8
Phelps County Sheriff's Dept,Central,2023,214,329.2
Phelps County Sheriff's Dept,Central,2024,190,292.3
Pulaski County Sheriff's Dept,Central,2014,50,100.0
Pulaski County Sheriff's Dept,Central,2015,74,148.0
Pulaski County Sheriff's Dept,Central,2016,53,106.0
Pulaski County Sheriff's Dept,Central,2017,27,54.0
Pulaski County Sheriff's Dept,Central,2018,60,120.0
Pulaski County Sheriff's Dept,Central,2019,69,138.0
Pulaski County Sheriff's Dept,Central,2020,39,78.0
Pulaski County Sheriff's Dept,Central,2021,44,88.0
Pulaski County Sheriff's Dept,Central,2022,18,36.0
Pulaski County Sheriff's Dept,Central,2023,34,68.0
Rolla Police Dept,Central,2014,317,100.0
Rolla Police Dept,Central,2015,258,81.4
Rolla Police Dept,Central,2016,365,115.1
Rolla Police Dept,Central,2017,338,106.6
Rolla Police Dept,Central,2018,284,89.6
Rolla Police Dept,Central,2019,215,67.8
Rolla Police Dept,Central,2020,252,79.5
Rolla Police Dept,Central,2021,311,98.1
Rolla Police Dept,Central,2022,328,103.5
Rolla Police Dept,Central,2023,234,73.8
Rolla Police Dept,Central,2024,307,96.8
St James Police Dept,Central,2014,52,100.0
St James Police Dept,Central,2015,63,121.2
St James Police Dept,Central,2016,14,26.9
St James Police Dept,Central,2017,10,19.2
St James Police Dept,Central,2018,12,23.1
St James Police Dept,Central,2019,15,28.8
St James Police Dept,Central,2020,28,53.8
St James Police Dept,Central,2021,30,57.7
St James Police Dept,Central,2022,93,178.8
St James Police Dept,Central,2023,87,167.3
St James Police Dept,Central,2024,94,180.8
St Robert Police Dept,Central,2014,755,100.0
St Robert Police Dept,Central,2015,436,57.7
St Robert Police Dept,Central,2017,645,85.4
St Robert Police Dept,Central,2018,632,83.7
St Robert Police Dept,Central,2019,441,58.4
St Robert Police Dept,Central,2020,517,68.5
St Robert Police Dept,Central,2021,636,84.2
St Robert Police Dept,Central,2022,507,67.2
St Robert Police Dept,Central,2023,444,58.8
St Robert Police Dept,Central,2024,520,68.9
Sturgeon Police Dept,Central,2014,10,100.0
Sturgeon Police Dept,Central,2015,11,110.0
Sturgeon Police Dept,Central,2016,4,40.0
Sturgeon Police Dept,Central,2017,1,10.0
Sturgeon Police Dept,Central,2018,4,40.0
Sturgeon Police Dept,Central,2019,13,130.0
Sturgeon Police Dept,Central,2020,11,110.0
Sturgeon Police Dept,Central,2022,3,30.0
Sturgeon Police Dept,Central,2023,10,100.0
Sunrise Beach Police Dept,Central,2014,31,100.0
Sunrise Beach Police Dept,Central,2015,26,83.9
Sunrise Beach Police Dept,Central,2017,21,67.7
Sunrise Beach Police Dept,Central,2018,6,19.4
Sunrise Beach Police Dept,Central,2019,7,22.6
Sunrise Beach Police Dept,Central,2020,12,38.7
Sunrise Beach Police Dept,Central,2021,11,35.5
Sunrise Beach Police Dept,Central,2022,8,25.8
Sunrise Beach Police Dept,Central,2023,15,48.4
Sunrise Beach Police Dept,Central,2024,31,100.0
Versailles Police Dept,Central,2014,11,100.0
Versailles Police Dept,Central,2015,8,72.7
Versailles Police Dept,Central,2016,8,72.7
Versailles Police Dept,Central,2017,14,127.3
Versailles Police Dept,Central,2018,10,90.9
Versailles Police Dept,Central,2019,18,163.6
Versailles Police Dept,Central,2020,17,154.5
Versailles Police Dept,Central,2021,16,145.5
Versailles Police Dept,Central,2022,10,90.9
Versailles Police Dept,Central,2023,9,81.8
Waynesville Police Dept,Central,2014,329,100.0
Waynesville Police Dept,Central,2015,473,143.8
Waynesville Police Dept,Central,2016,340,103.3
Waynesville Police Dept,Central,2017,292,88.8
Waynesville Police Dept,Central,2018,400,121.6
Waynesville Police Dept,Central,2019,418,127.1
Waynesville Police Dept,Central,2020,432,131.3
Waynesville Police Dept,Central,2021,550,167.2
Waynesville Police Dept,Central,2022,523,159.0
Waynesville Police Dept,Central,2023,476,144.7
Waynesville Police Dept,Central,2024,505,153.5
Bates County Sheriff's Dept,KC Metro,2014,47,100.0
Bates County Sheriff's Dept,KC Metro,2015,21,44.7
Bates County Sheriff's Dept,KC Metro,2016,27,57.4
Bates County Sheriff's Dept,KC Metro,2017,18,38.3
Bates County Sheriff's Dept,KC Metro,2018,25,53.2
Bates County Sheriff's Dept,KC Metro,2020,32,68.1
Bates County Sheriff's Dept,KC Metro,2021,32,68.1
Bates County Sheriff's Dept,KC Metro,2022,24,51.1
Bates County Sheriff's Dept,KC Metro,2023,41,87.2
Bates County Sheriff's Dept,KC Metro,2024,1,2.1
Belton Police Dept,KC Metro,2014,1022,100.0
Belton Police Dept,KC Metro,2015,706,69.1
Belton Police Dept,KC Metro,2016,1187,116.1
Belton Police Dept,KC Metro,2017,1246,121.9
