agency,race,year,searches,contraband,hit_rate
Parkville Police Dept,White,2024,22,5,22.7
Parkville Police Dept,Black,2024,27,4,14.8
Peculiar Police Dept,White,2024,60,19,31.7
Peculiar Police Dept,Black,2024,22,1,4.5
Perry County Sheriff's Dept,White,2024,87,24,27.6
Perry County Sheriff's Dept,Black,2024,22,0,0.0
Perryville Police Dept,White,2024,53,6,11.3
Pettis County Sheriff's Dept,White,2024,228,87,38.2
Pevely Police Dept,White,2024,45,4,8.9
Phelps County Sheriff's Dept,White,2024,267,105,39.3
Phelps County Sheriff's Dept,Black,2024,26,7,26.9
Phelps County Sheriff's Dept,Hispanic,2024,23,6,26.1
Pike County Sheriff's Dept,White,2024,64,22,34.4
Pineville Police Dept,White,2024,31,4,12.9
Platte County Sheriff's Dept,White,2024,304,48,15.8
Platte County Sheriff's Dept,Black,2024,120,14,11.7
Pleasant Valley Police Dept,White,2024,74,8,10.8
Pleasant Valley Police Dept,Black,2024,56,1,1.8
Poplar Bluff Police Dept,White,2024,288,45,15.6
Poplar Bluff Police Dept,Black,2024,74,12,16.2
Portageville Police Dept,White,2024,42,13,31.0
Potosi Police Dept,White,2024,205,74,36.1
Ralls County Sheriff's Dept,White,2024,28,4,14.3
Randolph County Sheriff's Dept,White,2024,124,33,26.6
Ray County Sheriff's Dept,White,2024,70,9,12.9
Raymore Police Dept,White,2024,110,14,12.7
Raymore Police Dept,Black,2024,84,2,2.4
Raytown Police Dept,White,2024,21,8,38.1
Raytown Police Dept,Black,2024,25,1,4.0
Republic Police Dept,White,2024,444,71,16.0
Republic Police Dept,Black,2024,28,3,10.7
Republic Police Dept,Hispanic,2024,39,4,10.3
Richmond Heights Police Dept,White,2024,37,8,21.6
Richmond Heights Police Dept,Black,2024,85,22,25.9
Richmond Police Dept,White,2024,41,13,31.7
Riverside Police Dept,White,2024,139,33,23.7
Riverside Police Dept,Black,2024,69,7,10.1
Rogersville Police Dept,White,2024,23,5,21.7
Rolla Police Dept,White,2024,193,33,17.1
Saline County Sheriff's Dept,White,2024,60,18,30.0
Sedalia Police Dept,White,2024,364,88,24.2
Sedalia Police Dept,Black,2024,48,17,35.4
Sedalia Police Dept,Hispanic,2024,77,19,24.7
Seligman Police Dept,White,2024,24,5,20.8
Senath Police Dept,White,2024,22,6,27.3
Seneca Police Dept,White,2024,193,68,35.2
Seymour Police Dept,White,2024,58,7,12.1
Sikeston Police Dept,White,2024,133,30,22.6
Sikeston Police Dept,Black,2024,149,30,20.1
Smithville Police Dept,White,2024,43,17,39.5
Southwest City Police Dept,White,2024,23,6,26.1
Springfield Police Dept,White,2024,1523,476,31.3
Springfield Police Dept,Black,2024,244,72,29.5
Springfield Police Dept,Hispanic,2024,107,34,31.8
St Ann Police Dept,White,2024,231,59,25.5
St Ann Police Dept,Black,2024,408,67,16.4
St Ann Police Dept,Hispanic,2024,90,10,11.1
St Charles County Police Dept,White,2024,572,187,32.7
St Charles County Police Dept,Black,2024,308,51,16.6
St Charles County Police Dept,Hispanic,2024,23,4,17.4
St Charles Police Dept,White,2024,376,79,21.0
St Charles Police Dept,Black,2024,263,43,16.3
St Charles Police Dept,Hispanic,2024,46,3,6.5
St Clair County Sheriff's Dept,White,2024,27,4,14.8
St Clair Police Dept,White,2024,62,5,8.1
St Francois County Sheriff's Dept,White,2024,445,218,49.0
St James Police Dept,White,2024,135,35,25.9
St John Police Dept,White,2024,27,11,40.7
St Joseph Police Dept,White,2024,179,38,21.2
St Joseph Police Dept,Black,2024,34,6,17.6
St Louis City Police Dept,White,2024,103,27,26.2
St Louis City Police Dept,Black,2024,347,81,23.3
St Louis County Police Dept,White,2024,344,70,20.3
St Louis County Police Dept,Black,2024,278,59,21.2
St Peters Police Dept,White,2024,288,49,17.0
St Peters Police Dept,Black,2024,95,11,11.6
St Robert Police Dept,White,2024,41,13,31.7
Ste Genevieve Co Sheriff's Dept,White,2024,133,47,35.3
Ste Genevieve Co Sheriff's Dept,Black,2024,29,6,20.7
Ste Genevieve Police Dept,White,2024,38,8,21.1
Stoddard County Sheriff's Dept,White,2024,151,23,15.2
Strafford Police Dept,White,2024,31,5,16.1
Sugar Creek Police Dept,White,2024,78,11,14.1
Sugar Creek Police Dept,Black,2024,42,8,19.0
Sullivan County Sheriff's Dept,White,2024,27,3,11.1
Sullivan Police Dept,White,2024,76,22,28.9
Sunrise Beach Police Dept,White,2024,31,4,12.9
Sunset Hills Police Dept,White,2024,273,22,8.1
Sunset Hills Police Dept,Black,2024,54,1,1.9
Sweet Springs Police Dept,White,2024,21,7,33.3
Taney County Sheriff's Dept,White,2024,205,30,14.6
Tipton Police Dept,White,2024,51,8,15.7
Town and Country Police Dept,White,2024,129,19,14.7
Town and Country Police Dept,Black,2024,115,13,11.3
UCM-Dept of Public Safety,White,2024,39,11,28.2
Union Police Dept,White,2024,47,16,34.0
University of Missouri-Columbia Police Dept,White,2024,145,80,55.2
University of Missouri-Columbia Police Dept,Black,2024,55,20,36.4
Warren County Sheriff's Dept,White,2024,313,69,22.0
Warren County Sheriff's Dept,Black,2024,23,6,26.1
Warrensburg Police Dept,White,2024,133,19,14.3
Warrensburg Police Dept,Black,2024,48,4,8.3
Warrenton Police Dept,White,2024,74,11,14.9
Washington County Sheriff's Dept,White,2024,91,35,38.5
Washington Police Dept,White,2024,106,21,19.8
Waynesville Police Dept,White,2024,34,7,20.6
Webb City Police Dept,White,2024,143,58,40.6
Webster County Sheriff's Dept,White,2024,39,7,17.9
Wellsville Police Dept,White,2024,46,3,6.5
Wentzville Police Dept,White,2024,295,48,16.3
Wentzville Police Dept,Black,2024,98,6,6.1
Willard Police Dept,White,2024,73,24,32.9
Wright City Police Dept,White,2024,97,19,19.6
Wright County Sheriff's Dept,White,2024,196,52,26.5
Breckenridge Hills Police Dept,White,2024,65,12,18.5
Breckenridge Hills Police Dept,Black,2024,66,26,39.4
North County Police Cooperative,White,2024,31,13,41.9
North County Police Cooperative,Black,2024,235,101,43.0
Winona Police Dept,White,2024,26,0,0.0
Goodman Police Dept,White,2024,28,11,39.3
