row_key,agency,Total,White,Black,Hispanic,Native American,Asian,Other,year,checked
rates-by-race--totals--all-stops,St Louis City Police Dept,32586,12161,18841,621,38,309,616,2022,1
rates-by-race--totals--all-stops,Ash Grove Police Dept,431,419,7,3,0,1,1,2022,1
search-statistics--probable-cause--consent,Audrain County Sheriff's Dept,95,85,9,1,0,0,0,2022,1
disparity-index-by-race--disparity-index--resident-stops-acs,Foristell Police Dept,,0.947,,0,,0,0,2022,0
number-of-stops-by-race--driver-age--65-and-over,Callaway County Sheriff's Dept,84,79,4,0,0,0,1,2022,0
number-of-stops-by-race--stop-outcome--warning,Callaway County Sheriff's Dept,1832,1575,204,32,1,5,15,2022,0
number-of-stops-by-race--stop-outcome--citation,Callaway County Sheriff's Dept,175,138,35,2,0,0,0,2022,0
rates-by-race--stop-rate-residents--search-rate,Washington University Police Dept,6.25,12.5,0,,,0,0,2022,0
search-statistics--arrest-charge--off-against-person,Callaway County Sheriff's Dept,12,10,2,0,0,0,0,2022,0
rates-by-race--totals--resident-stops,Callaway County Sheriff's Dept,1260,1138,100,16,0,0,6,2022,0
search-statistics--arrest-charge--dwi-bac,Callaway County Sheriff's Dept,18,12,3,3,0,0,0,2022,0
number-of-stops-by-race--non-resident-stops,Callaway County Sheriff's Dept,828,654,139,19,1,6,9,2022,0
number-of-stops-by-race--reason-for-stop--equpiment,Callaway County Sheriff's Dept,466,407,49,8,0,1,1,2022,0
search-statistics--probable-cause--incident-to-arrest,Callaway County Sheriff's Dept,138,116,19,3,0,0,0,2022,0
number-of-stops-by-race--driver-gender--female,Callaway County Sheriff's Dept,760,673,70,12,0,1,4,2022,0
rates-by-race--totals--citations,Callaway County Sheriff's Dept,175,138,35,2,0,0,0,2022,0
number-of-stops-by-race--driver-age--17-and-under,Callaway County Sheriff's Dept,81,72,5,4,0,0,0,2022,0
search-statistics--probable-cause--drug-dog-alert,Callaway County Sheriff's Dept,14,12,1,1,0,0,0,2022,0
number-of-stops-by-race--driver-age--40-64,Callaway County Sheriff's Dept,650,580,53,8,0,3,6,2022,0
number-of-stops-by-race--stop-outcome--no-action,Callaway County Sheriff's Dept,71,62,6,2,0,1,0,2022,0
search-statistics--arrest-charge--property-offense,Callaway County Sheriff's Dept,10,7,2,1,0,0,0,2022,0
search-statistics--probable-cause--drug-alcohol-odor,Callaway County Sheriff's Dept,63,43,20,0,0,0,0,2022,0
search-statistics--search-duration--16-30-minutes,Callaway County Sheriff's Dept,21,14,7,0,0,0,0,2022,0
number-of-stops-by-race--reason-for-stop--moving,Callaway County Sheriff's Dept,679,574,79,17,1,3,5,2022,0
search-statistics--what-searched--driver,Callaway County Sheriff's Dept,96,84,11,1,0,0,0,2022,0
rates-by-race--totals--searches,Callaway County Sheriff's Dept,413,348,60,4,0,0,1,2022,0
rates-by-race--population--2021-acs-pop,Callaway County Sheriff's Dept,36172,33119,1513,674,229,191,1120,2022,0
number-of-stops-by-race--location-of-stop--other,Callaway County Sheriff's Dept,9,9,0,0,0,0,0,2022,0
number-of-stops-by-race--stop-outcome--arrests,Callaway County Sheriff's Dept,258,210,43,5,0,0,0,2022,0
search-statistics--arrest-charge--outstanding-warrant,Callaway County Sheriff's Dept,58,51,7,0,0,0,0,2022,0
