row_key,agency,Total,White,Black,Hispanic,Asian,Am. Indian,Other,year,checked
key-indicators--stops,Adair County Sheriff's Dept,709,669,21,13,2,2,2,2015,1
key-indicators--arrests,Adair County Sheriff's Dept,10,8,2,0,0,0,0,2015,1
vehicle-stop-stats--reason-for-stop--moving,Adair County Sheriff's Dept,501,476,12,9,2,1,1,2015,1
vehicle-stop-stats--stop-outcome--citation,Adair County Sheriff's Dept,193,183,4,5,0,0,1,2015,1
search-stats--probable-cause-authority-to-search--consent,Adair County Sheriff's Dept,9,8,1,0,0,0,0,2015,1
search-stats--contraband-found--drugs-alcohol,Adair County Sheriff's Dept,3,3,0,0,0,0,0,2015,1
search-stats--arrest-charge--drug-violation,Adair County Sheriff's Dept,3,3,0,0,0,0,0,2015,1
key-indicators--stops,Arbyrd Police Dept,99,83,2,14,0,0,0,2015,1
key-indicators--arrests,Arbyrd Police Dept,5,4,1,0,0,0,0,2015,1
vehicle-stop-stats--reason-for-stop--moving,Arbyrd Police Dept,54,47,1,6,0,0,0,2015,1
vehicle-stop-stats--stop-outcome--citation,Arbyrd Police Dept,78,71,0,7,0,0,0,2015,1
search-stats--probable-cause-authority-to-search--consent,Arbyrd Police Dept,3,3,0,0,0,0,0,2015,1
search-stats--contraband-found--drugs-alcohol,Arbyrd Police Dept,2,2,0,0,0,0,0,2015,1
search-stats--arrest-charge--drug-violation,Arbyrd Police Dept,2,2,0,0,0,0,0,2015,1
key-indicators--stops,Audrain County Sheriff's Dept,783,700,60,14,5,2,2,2015,1
key-indicators--arrests,Audrain County Sheriff's Dept,44,35,7,2,0,0,0,2015,1
vehicle-stop-stats--reason-for-stop--moving,Audrain County Sheriff's Dept,235,217,14,2,1,0,1,2015,1
vehicle-stop-stats--stop-outcome--citation,Audrain County Sheriff's Dept,66,57,6,3,0,0,0,2015,1
search-stats--probable-cause-authority-to-search--consent,Audrain County Sheriff's Dept,51,45,6,0,0,0,0,2015,1
search-stats--contraband-found--drugs-alcohol,Audrain County Sheriff's Dept,15,13,2,0,0,0,0,2015,1
search-stats--arrest-charge--drug-violation,Audrain County Sheriff's Dept,12,10,2,0,0,0,0,2015,1
key-indicators--stops,Bates City Police Dept,64,62,1,1,0,0,0,2015,1
key-indicators--arrests,Bates City Police Dept,0,0,0,0,0,0,0,2015,1
vehicle-stop-stats--reason-for-stop--moving,Bates City Police Dept,32,30,1,1,0,0,0,2015,1
vehicle-stop-stats--stop-outcome--citation,Bates City Police Dept,33,32,1,0,0,0,0,2015,1
search-stats--probable-cause-authority-to-search--consent,Bates City Police Dept,2,2,0,0,0,0,0,2015,1
search-stats--contraband-found--drugs-alcohol,Bates City Police Dept,0,0,0,0,0,0,0,2015,1
search-stats--arrest-charge--drug-violation,Bates City Police Dept,0,0,0,0,0,0,0,2015,1
key-indicators--stops,Bellefontaine Neighbors Police Dept,1912,366,1536,4,5,0,1,2015,1
key-indicators--arrests,Bellefontaine Neighbors Police Dept,144,9,135,0,0,0,0,2015,1
vehicle-stop-stats--reason-for-stop--moving,Bellefontaine Neighbors Police Dept,1084,286,791,2,4,0,1,2015,1
vehicle-stop-stats--stop-outcome--citation,Bellefontaine Neighbors Police Dept,1260,258,997,1,3,0,1,2015,1
search-stats--probable-cause-authority-to-search--consent,Bellefontaine Neighbors Police Dept,43,9,34,0,0,0,0,2015,1
search-stats--contraband-found--drugs-alcohol,Bellefontaine Neighbors Police Dept,24,9,15,0,0,0,0,2015,1
search-stats--arrest-charge--drug-violation,Bellefontaine Neighbors Police Dept,9,4,5,0,0,0,0,2015,1
key-indicators--stops,Bethany Police Dept,211,202,1,8,0,0,0,2015,1
key-indicators--arrests,Bethany Police Dept,10,7,1,2,0,0,0,2015,1
vehicle-stop-stats--reason-for-stop--moving,Bethany Police Dept,92,90,0,2,0,0,0,2015,1
vehicle-stop-stats--stop-outcome--citation,Bethany Police Dept,67,63,1,3,0,0,0,2015,1
search-stats--probable-cause-authority-to-search--consent,Bethany Police Dept,11,11,0,0,0,0,0,2015,1
search-stats--contraband-found--drugs-alcohol,Bethany Police Dept,2,2,0,0,0,0,0,2015,1
search-stats--arrest-charge--drug-violation,Bethany Police Dept,1,1,0,0,0,0,0,2015,1
key-indicators--stops,Bolivar Police Dept,5886,5647,127,80,20,4,8,2015,1
key-indicators--arrests,Bolivar Police Dept,178,168,5,4,0,1,0,2015,1
vehicle-stop-stats--reason-for-stop--moving,Bolivar Police Dept,2756,2603,84,48,17,2,2,2015,1
vehicle-stop-stats--stop-outcome--citation,Bolivar Police Dept,1253,1194,31,20,4,1,3,2015,1
search-stats--probable-cause-authority-to-search--consent,Bolivar Police Dept,266,258,5,3,0,0,0,2015,1
search-stats--contraband-found--drugs-alcohol,Bolivar Police Dept,105,96,4,4,0,1,0,2015,1
search-stats--arrest-charge--drug-violation,Bolivar Police Dept,86,78,4,4,0,0,0,2015,1
key-indicators--stops,Branson West Police Dept,1702,1653,20,24,2,2,1,2015,1
key-indicators--arrests,Branson West Police Dept,74,70,2,1,0,1,0,2015,1
vehicle-stop-stats--reason-for-stop--moving,Branson West Police Dept,642,618,12,9,1,1,1,2015,1
vehicle-stop-stats--stop-outcome--citation,Branson West Police Dept,709,685,9,11,2,1,1,2015,1
search-stats--probable-cause-authority-to-search--consent,Branson West Police Dept,41,38,2,0,0,1,0,2015,1
search-stats--contraband-found--drugs-alcohol,Branson West Police Dept,18,16,2,0,0,0,0,2015,1
search-stats--arrest-charge--drug-violation,Branson West Police Dept,10,9,1,0,0,0,0,2015,1
key-indicators--stops,Buchanan County Sheriff's Dept,2648,2414,152,37,18,7,20,2015,1
key-indicators--arrests,Buchanan County Sheriff's Dept,24,18,1,3,1,1,0,2015,1
vehicle-stop-stats--reason-for-stop--moving,Buchanan County Sheriff's Dept,2026,1835,126,30,15,4,16,2015,1
vehicle-stop-stats--stop-outcome--citation,Buchanan County Sheriff's Dept,1159,1037,74,21,10,6,11,2015,1
search-stats--probable-cause-authority-to-search--consent,Buchanan County Sheriff's Dept,38,25,10,3,0,0,0,2015,1
search-stats--contraband-found--drugs-alcohol,Buchanan County Sheriff's Dept,8,8,0,0,0,0,0,2015,1
search-stats--arrest-charge--drug-violation,Buchanan County Sheriff's Dept,4,4,0,0,0,0,0,2015,1
key-indicators--stops,Byrnes Mill Police Dept,1557,1522,21,1,4,0,9,2015,1
key-indicators--arrests,Byrnes Mill Police Dept,129,128,1,0,0,0,0,2015,1
vehicle-stop-stats--reason-for-stop--moving,Byrnes Mill Police Dept,660,644,11,0,3,0,2,2015,1
vehicle-stop-stats--stop-outcome--citation,Byrnes Mill Police Dept,1210,1183,16,0,2,0,9,2015,1
search-stats--probable-cause-authority-to-search--consent,Byrnes Mill Police Dept,70,66,4,0,0,0,0,2015,1
search-stats--contraband-found--drugs-alcohol,Byrnes Mill Police Dept,41,39,2,0,0,0,0,2015,1
search-stats--arrest-charge--drug-violation,Byrnes Mill Police Dept,36,36,0,0,0,0,0,2015,1
key-indicators--stops,Camden Police Dept,1,1,0,0,0,0,0,2015,1
key-indicators--arrests,Camden Police Dept,0,0,0,0,0,0,0,2015,1
vehicle-stop-stats--reason-for-stop--moving,Camden Police Dept,1,1,0,0,0,0,0,2015,1
vehicle-stop-stats--stop-outcome--citation,Camden Police Dept,0,0,0,0,0,0,0,2015,1
search-stats--probable-cause-authority-to-search--consent,Camden Police Dept,0,0,0,0,0,0,0,2015,1
search-stats--contraband-found--drugs-alcohol,Camden Police Dept,0,0,0,0,0,0,0,2015,1
search-stats--arrest-charge--drug-violation,Camden Police Dept,0,0,0,0,0,0,0,2015,1
key-indicators--stops,Cardwell Police Dept,78,69,5,4,0,0,0,2015,1
key-indicators--arrests,Cardwell Police Dept,0,0,0,0,0,0,0,2015,1
vehicle-stop-stats--reason-for-stop--moving,Cardwell Police Dept,69,61,5,3,0,0,0,2015,1
vehicle-stop-stats--stop-outcome--citation,Cardwell Police Dept,85,78,4,3,0,0,0,2015,1
search-stats--probable-cause-authority-to-search--consent,Cardwell Police Dept,1,1,0,0,0,0,0,2015,1
search-stats--contraband-found--drugs-alcohol,Cardwell Police Dept,0,0,0,0,0,0,0,2015,1
search-stats--arrest-charge--drug-violation,Cardwell Police Dept,0,0,0,0,0,0,0,2015,1
key-indicators--stops,Cass County Sheriff's Office,2847,2575,190,64,8,1,9,2015,1
key-indicators--arrests,Cass County Sheriff's Office,189,162,17,10,0,0,0,2015,1
vehicle-stop-stats--reason-for-stop--moving,Cass County Sheriff's Office,1862,1703,102,44,7,0,6,2015,1
vehicle-stop-stats--stop-outcome--citation,Cass County Sheriff's Office,1040,927,76,30,4,0,3,2015,1
search-stats--probable-cause-authority-to-search--consent,Cass County Sheriff's Office,183,169,11,3,0,0,0,2015,1
search-stats--contraband-found--drugs-alcohol,Cass County Sheriff's Office,107,89,16,2,0,0,0,2015,1
search-stats--arrest-charge--drug-violation,Cass County Sheriff's Office,16,13,2,1,0,0,0,2015,1
key-indicators--stops,Charlack Police Dept,2035,750,1185,23,38,2,37,2015,1
key-indicators--arrests,Charlack Police Dept,89,22,52,14,0,0,1,2015,1
vehicle-stop-stats--reason-for-stop--moving,Charlack Police Dept,1254,554,629,11,32,2,26,2015,1
vehicle-stop-stats--stop-outcome--citation,Charlack Police Dept,1772,684,999,20,35,2,32,2015,1
search-stats--probable-cause-authority-to-search--consent,Charlack Police Dept,15,6,9,0,0,0,0,2015,1
search-stats--contraband-found--drugs-alcohol,Charlack Police Dept,14,0,12,2,0,0,0,2015,1
search-stats--arrest-charge--drug-violation,Charlack Police Dept,13,2,9,2,0,0,0,2015,1
key-indicators--stops,Clark Police Dept,162,150,8,1,1,0,2,2015,1
key-indicators--arrests,Clark Police Dept,1,1,0,0,0,0,0,2015,1
vehicle-stop-stats--reason-for-stop--moving,Clark Police Dept,119,111,5,1,1,0,1,2015,1
vehicle-stop-stats--stop-outcome--citation,Clark Police Dept,112,104,7,0,1,0,0,2015,1
search-stats--probable-cause-authority-to-search--consent,Clark Police Dept,1,1,0,0,0,0,0,2015,1
search-stats--contraband-found--drugs-alcohol,Clark Police Dept,2,2,0,0,0,0,0,2015,1
search-stats--arrest-charge--drug-violation,Clark Police Dept,0,0,0,0,0,0,0,2015,1
key-indicators--stops,Clinton County Sheriff's Dept,903,859,30,8,2,0,4,2015,1
key-indicators--arrests,Clinton County Sheriff's Dept,41,40,1,0,0,0,0,2015,1
vehicle-stop-stats--reason-for-stop--moving,Clinton County Sheriff's Dept,625,590,25,5,2,0,3,2015,1
vehicle-stop-stats--stop-outcome--citation,Clinton County Sheriff's Dept,184,176,6,1,1,0,0,2015,1
search-stats--probable-cause-authority-to-search--consent,Clinton County Sheriff's Dept,61,56,4,1,0,0,0,2015,1
search-stats--contraband-found--drugs-alcohol,Clinton County Sheriff's Dept,62,60,2,0,0,0,0,2015,1
search-stats--arrest-charge--drug-violation,Clinton County Sheriff's Dept,8,8,0,0,0,0,0,2015,1
key-indicators--stops,Cooter Police Dept,12,10,2,0,0,0,0,2015,1
key-indicators--arrests,Cooter Police Dept,0,0,0,0,0,0,0,2015,1
vehicle-stop-stats--reason-for-stop--moving,Cooter Police Dept,5,5,0,0,0,0,0,2015,1
vehicle-stop-stats--stop-outcome--citation,Cooter Police Dept,12,10,2,0,0,0,0,2015,1
search-stats--probable-cause-authority-to-search--consent,Cooter Police Dept,0,0,0,0,0,0,0,2015,1
search-stats--contraband-found--drugs-alcohol,Cooter Police Dept,0,0,0,0,0,0,0,2015,1
search-stats--arrest-charge--drug-violation,Cooter Police Dept,0,0,0,0,0,0,0,2015,1
key-indicators--stops,Creve Coeur Police Dept,10694,8959,1356,36,260,12,71,2015,1
key-indicators--arrests,Creve Coeur Police Dept,453,278,157,5,10,1,2,2015,1
vehicle-stop-stats--reason-for-stop--moving,Creve Coeur Police Dept,8022,6773,975,29,188,7,50,2015,1
vehicle-stop-stats--stop-outcome--citation,Creve Coeur Police Dept,5855,4831,814,14,156,7,33,2015,1
search-stats--probable-cause-authority-to-search--consent,Creve Coeur Police Dept,138,107,30,0,1,0,0,2015,1
search-stats--contraband-found--drugs-alcohol,Creve Coeur Police Dept,105,70,33,0,1,0,1,2015,1
search-stats--arrest-charge--drug-violation,Creve Coeur Police Dept,87,57,29,0,1,0,0,2015,1
key-indicators--stops,Dardenne Prairie Police Dept,1511,1351,84,39,21,2,14,2015,1
key-indicators--arrests,Dardenne Prairie Police Dept,2,2,0,0,0,0,0,2015,1
vehicle-stop-stats--reason-for-stop--moving,Dardenne Prairie Police Dept,1309,1182,70,36,14,2,5,2015,1
