row_key,agency,Total,White,Black,Hispanic,Asian,Am. Indian,Other,year,checked
key-indicators--stops,Adair County Sheriff's Dept,775,711,43,17,4,0,0,2017,1
key-indicators--arrests,Adair County Sheriff's Dept,32,23,9,0,0,0,0,2017,1
vehicle-stop-stats--reason-for-stop--moving,Adair County Sheriff's Dept,520,476,27,13,4,0,0,2017,1
vehicle-stop-stats--stop-outcome--citation,Adair County Sheriff's Dept,219,197,19,2,1,0,0,2017,1
search-stats--probable-cause-authority-to-search--consent,Adair County Sheriff's Dept,14,13,1,0,0,0,0,2017,1
search-stats--contraband-found--drugs-alcohol,Adair County Sheriff's Dept,2,1,1,0,0,0,0,2017,1
search-stats--arrest-charge--drug-violation,Adair County Sheriff's Dept,2,1,1,0,0,0,0,2017,1
key-indicators--stops,Appleton City Police Dept,27,27,0,0,0,0,0,2017,1
key-indicators--arrests,Appleton City Police Dept,0,0,0,0,0,0,0,2017,1
vehicle-stop-stats--reason-for-stop--moving,Appleton City Police Dept,10,10,0,0,0,0,0,2017,1
vehicle-stop-stats--stop-outcome--citation,Appleton City Police Dept,5,5,0,0,0,0,0,2017,1
search-stats--probable-cause-authority-to-search--consent,Appleton City Police Dept,1,1,0,0,0,0,0,2017,1
search-stats--contraband-found--drugs-alcohol,Appleton City Police Dept,0,0,0,0,0,0,0,2017,1
search-stats--arrest-charge--drug-violation,Appleton City Police Dept,0,0,0,0,0,0,0,2017,1
key-indicators--stops,Audrain County Sheriff's Dept,1364,1192,141,24,3,3,1,2017,1
key-indicators--arrests,Audrain County Sheriff's Dept,225,159,56,10,0,0,0,2017,1
vehicle-stop-stats--reason-for-stop--moving,Audrain County Sheriff's Dept,418,361,44,13,0,0,0,2017,1
vehicle-stop-stats--stop-outcome--citation,Audrain County Sheriff's Dept,60,19,38,3,0,0,0,2017,1
search-stats--probable-cause-authority-to-search--consent,Audrain County Sheriff's Dept,52,50,2,0,0,0,0,2017,1
search-stats--contraband-found--drugs-alcohol,Audrain County Sheriff's Dept,102,70,29,3,0,0,0,2017,1
search-stats--arrest-charge--drug-violation,Audrain County Sheriff's Dept,90,65,22,3,0,0,0,2017,1
key-indicators--stops,Bates City Police Dept,287,270,6,9,0,0,2,2017,1
key-indicators--arrests,Bates City Police Dept,19,19,0,0,0,0,0,2017,1
vehicle-stop-stats--reason-for-stop--moving,Bates City Police Dept,239,223,6,8,0,0,2,2017,1
vehicle-stop-stats--stop-outcome--citation,Bates City Police Dept,113,103,2,6,0,0,2,2017,1
search-stats--probable-cause-authority-to-search--consent,Bates City Police Dept,14,13,1,0,0,0,0,2017,1
search-stats--contraband-found--drugs-alcohol,Bates City Police Dept,16,16,0,0,0,0,0,2017,1
search-stats--arrest-charge--drug-violation,Bates City Police Dept,12,12,0,0,0,0,0,2017,1
key-indicators--stops,Bellflower Police Dept,50,47,1,2,0,0,0,2017,1
key-indicators--arrests,Bellflower Police Dept,0,0,0,0,0,0,0,2017,1
vehicle-stop-stats--reason-for-stop--moving,Bellflower Police Dept,35,33,1,1,0,0,0,2017,1
vehicle-stop-stats--stop-outcome--citation,Bellflower Police Dept,8,8,0,0,0,0,0,2017,1
search-stats--probable-cause-authority-to-search--consent,Bellflower Police Dept,2,2,0,0,0,0,0,2017,1
search-stats--contraband-found--drugs-alcohol,Bellflower Police Dept,0,0,0,0,0,0,0,2017,1
search-stats--arrest-charge--drug-violation,Bellflower Police Dept,0,0,0,0,0,0,0,2017,1
key-indicators--stops,Billings Police Dept,914,847,21,34,5,0,7,2017,1
key-indicators--arrests,Billings Police Dept,5,5,0,0,0,0,0,2017,1
vehicle-stop-stats--reason-for-stop--moving,Billings Police Dept,543,496,17,19,4,0,7,2017,1
