slug,department,Total,White,Black,Hispanic,Native American,Asian,Other,year,checked
rates--stop-rate-residents--citation-rate,Lincoln University Police Dept,4.88,4.76,5.08,0,,,,2020,0
stops--reason-for-stop--investigative,Fair Grove Police Dept,17,16,1,0,0,0,0,2020,0
rates--rates--stop-rate,Ashland Police Dept,44.65,39.9,875,60.61,,,0,2020,0
stops--location-of-stop--us-hwy,Fair Grove Police Dept,312,295,7,5,2,1,2,2020,0
rates--population--2019-population,Fair Grove Police Dept,1057,1037,0,13,0,4,6,2020,0
search--what-searched--driver,Fair Grove Police Dept,16,16,0,0,0,0,0,2020,0
search--what-searched--car-property,Fair Grove Police Dept,4,3,1,0,0,0,0,2020,0
rates--rates--citation-rate,Poplar Bluff Police Dept,41.44,40.41,47.91,25,0,0,0,2020,0
rates--totals--citations,Fair Grove Police Dept,196,187,2,3,2,1,1,2020,0
search--contraband-found--stolen-property,Fair Grove Police Dept,1,0,1,0,0,0,0,2020,0
stops--stop-outcome--searches,Fair Grove Police Dept,48,45,1,1,1,0,0,2020,0
stops--location-of-stop--other,Fair Grove Police Dept,9,9,0,0,0,0,0,2020,0
search--probable-cause--drug-dog-alert,Fair Grove Police Dept,0,0,0,0,0,0,0,2020,0
disparity-index-by-race--population--2019-population-pct,Fair Grove Police Dept,100,98.11,0,1.23,0,0.38,0.57,2020,0
search--arrest-charge--traffic-violation,Fair Grove Police Dept,112,101,5,3,1,1,1,2020,0
rates--rates--arrest-rate,Poplar Bluff Police Dept,2.65,2.05,5.32,8.33,0,0,0,2020,0
stops--driver-age--30-39,Fair Grove Police Dept,145,134,2,4,2,1,2,2020,0
search--contraband-found--other,Fair Grove Police Dept,0,0,0,0,0,0,0,2020,0
stops--location-of-stop--interstate-hwy,Fair Grove Police Dept,0,0,0,0,0,0,0,2020,0
stops--driver-age--18-29,Fair Grove Police Dept,265,257,3,5,0,0,0,2020,0
search--arrest-charge--drug-violation,Fair Grove Police Dept,11,8,1,1,1,0,0,2020,0
search--what-searched--driver-property,Fair Grove Police Dept,29,27,0,1,1,0,0,2020,0
search--probable-cause--inventory,Fair Grove Police Dept,18,16,1,1,0,0,0,2020,0
rates--totals--resident-stops,Fair Grove Police Dept,282,280,0,2,0,0,0,2020,0
disparity-index-by-race--stops--resident-stops,Fair Grove Police Dept,282,280,0,2,0,0,0,2020,0
stops--reason-for-stop--license,Fair Grove Police Dept,270,256,6,4,2,1,1,2020,0
rates--population--2019-population-pct,Fair Grove Police Dept,100,98.11,0,1.23,0,0.38,0.57,2020,0
rates--contraband-hit-rate--citation-rate,Mercer County Sheriff's Dept,48.48,46.43,,75,,0,,2020,0
search--probable-cause--drug-alcohol-odor,Fair Grove Police Dept,7,6,0,1,0,0,0,2020,0
search--probable-cause--incident-to-arrest,Fair Grove Police Dept,21,20,1,0,0,0,0,2020,0
search--arrest-charge--property-offense,Fair Grove Police Dept,1,0,1,0,0,0,0,2020,0
rates--totals--contraband,Fair Grove Police Dept,19,16,1,1,1,0,0,2020,0
stops--location-of-stop--county-road,Fair Grove Police Dept,1,1,0,0,0,0,0,2020,0
stops--driver-gender--male,Fair Grove Police Dept,370,350,8,7,2,1,2,2020,0
rates--totals--arrests,Fair Grove Police Dept,43,42,0,1,0,0,0,2020,0
rates--contraband-hit-rate--arrest-rate,Mercer County Sheriff's Dept,12.12,14.29,,0,,0,,2020,0
stops--driver-gender--female,Fair Grove Police Dept,255,249,2,3,1,0,0,2020,0
search--contraband-found--currency,Fair Grove Police Dept,0,0,0,0,0,0,0,2020,0
stops-all-stops,Fair Grove Police Dept,626,599,11,10,3,1,2,2020,0
search--arrest-charge--resist-arrest,Bates City Police Dept,0,0,0,0,0,0,0,2021,0
search--probable-cause--reas-susp-weapon,Bates City Police Dept,0,0,0,0,0,0,0,2021,0
search--search-duration--31-minutes,Bates City Police Dept,3,2,1,0,0,0,0,2021,0
stops--stop-outcome--warning,Bates City Police Dept,147,140,1,5,0,0,1,2021,0
search--arrest-charge--off-against-person,Bates City Police Dept,0,0,0,0,0,0,0,2021,0
stops-non-resident-stops,Missouri Dept of Conservation Protection Branch,43,37,2,1,0,3,0,2021,0
search--arrest-charge--outstanding-warrant,Bates City Police Dept,2,0,0,2,0,0,0,2021,0
disparity-index-by-race--population--2020-population,Bates City Police Dept,132,130,0,0,0,2,0,2021,0
stops--reason-for-stop--equpiment,Bates City Police Dept,26,22,3,1,0,0,0,2021,0
stops--location-of-stop--city-street,Bates City Police Dept,213,200,5,5,1,1,1,2021,0
stops--reason-for-stop--moving,Bates City Police Dept,174,161,2,9,1,1,0,2021,0
search--probable-cause--consent,Bates City Police Dept,8,4,2,0,1,1,0,2021,0
stops--stop-outcome--contraband,Bates City Police Dept,3,2,0,1,0,0,0,2021,0
search--contraband-found--drugs-alcohol,Bates City Police Dept,3,2,0,1,0,0,0,2021,0
stops--stop-outcome--citation,Bates City Police Dept,86,75,4,5,1,1,0,2021,0
search--search-duration--0-15-minutes,Bates City Police Dept,1,1,0,0,0,0,0,2021,0
stops--driver-age--17-and-under,Bates City Police Dept,9,9,0,0,0,0,0,2021,0
rates--stop-rate-residents--arrest-rate,Missouri Capitol Police,0.65,0.76,0,0,,,0,2021,0
stops--location-of-stop--state-hwy,Bates City Police Dept,24,19,0,5,0,0,0,2021,0
stops--driver-age--40-and-over,Bates City Police Dept,5,2,1,2,0,0,0,2021,0
rates--rates--stop-rate-residents,Pemiscot County Sheriff's Dept,1,0.96,1.2,0.71,0,0,0,2021,0
disparity-index-by-race--stops--all-stops,Bates City Police Dept,237,219,5,10,1,1,1,2021,0
rates--totals--all-stops,Bates City Police Dept,237,219,5,10,1,1,1,2021,0
search--search-duration--16-30-minutes,Bates City Police Dept,8,3,1,2,1,1,0,2021,0
stops--stop-outcome--no-action,Bates City Police Dept,2,2,0,0,0,0,0,2021,0
stops--stop-outcome--arrests,Bates City Police Dept,0,0,0,0,0,0,0,2021,0
search--arrest-charge--dwi-bac,Bates City Police Dept,0,0,0,0,0,0,0,2021,0
search--probable-cause--other,Bates City Police Dept,0,0,0,0,0,0,0,2021,0
stops-resident-stops,Bates City Police Dept,194,194,0,0,0,0,0,2021,0
disparity-index-by-race--disparity-index--all-stops,Pemiscot County Sheriff's Dept,,0.931,1.132,2.489,0,0,0,2021,0
