row_key,agency,Total,White,Black,Hispanic,Native American,Asian,Other,year,checked
number-of-stops-by-race--arrest-violation--outstanding-warrent,Bernie Police Dept,3,3,0,0,0,0,0,2024,0
search-statistics--contraband-found--drugs,Normandy Police Dept,2,1,1,0,0,0,0,2024,0
search-statistics--contraband-found--drugs,University of Missouri-St Louis Police Dept,0,0,0,0,0,0,0,2024,0
number-of-stops-by-race--arrest-violation--off-against-person,Mansfield Police Dept,0,0,0,0,0,0,0,2024,0
number-of-stops-by-race--driver-gender--female,Greenwood Police Dept,705,477,79,7,0,2,140,2024,0
search-statistics--contraband-found--currency,Rosebud Police Dept,0,0,0,0,0,0,0,2024,0
number-of-stops-by-race--arrest-violation--other,Garden City Police Dept,1,0,1,0,0,0,0,2024,0
search-statistics--search-duration--0-15-minutes,Marionville Police Dept,10,9,0,1,0,0,0,2024,0
number-of-stops-by-race--arrest-violation--drug-violation,Fordland Police Dept,0,0,0,0,0,0,0,2024,0
number-of-stops-by-race--officer-assignment--special-assignment,Platte Woods Police Dept,0,0,0,0,0,0,0,2024,0
number-of-stops-by-race--arrest-violation--property,Lakeshire Police Dept,0,0,0,0,0,0,0,2024,0
number-of-stops-by-race--driver-gender--female,Orrick Police Dept,8,8,0,0,0,0,0,2024,0
number-of-stops-by-race--location-of-stop--other,Kahoka Police Dept,5,5,0,0,0,0,0,2024,0
rates-by-race--rates--contraband-hit-rate,Ashland Police Dept,10.77,10.77,,,,,,2024,0
number-of-stops-by-race--arrest-violation--drug-violation,Seymour Police Dept,3,3,0,0,0,0,0,2024,0
number-of-stops-by-race--location-of-stop--other,Perryville Police Dept,25,22,2,1,0,0,0,2024,0
number-of-stops-by-race--arrest-violation--off-against-person,Boone County Sheriff's Dept,9,3,6,0,0,0,0,2024,0
number-of-stops-by-race--reason-for-stop--other,Clinton Police Dept,0,0,0,0,0,0,0,2024,0
number-of-stops-by-race--driver-age--30-39,Lewis County Sheriff's Dept,75,70,3,1,0,0,1,2024,0
number-of-stops-by-race--driver-age--65-and-over,Jefferson City Police Dept,756,640,96,8,0,7,5,2024,0
search-statistics--probable-cause--drug-alcohol-odor,Pacific Police Dept,5,5,0,0,0,0,0,2024,0
search-statistics--search-duration--16-30-minutes,Holts Summit Police Dept,9,4,2,3,0,0,0,2024,0
number-of-stops-by-race--driver-age--30-39,New Florence Police Dept,101,66,15,7,4,4,5,2024,0
search-statistics--probable-cause--other,Morrisville Police Dept,0,0,0,0,0,0,0,2024,0
number-of-stops-by-race--arrest-violation--off-against-person,Maryland Heights Police Dept,13,2,11,0,0,0,0,2024,0
search-statistics--contraband-found--other,Ashland Police Dept,3,3,0,0,0,0,0,2024,0
rates-by-race--rates--search-rate,St James Police Dept,9.08,8.84,10.64,18.37,,0,0,2024,0
search-statistics--probable-cause--drug-dog-alert,Bloomfield Police Dept,0,0,0,0,0,0,0,2024,0
number-of-stops-by-race--driver-gender--male,Park Hills Police Dept,999,950,35,12,0,0,2,2024,0
number-of-stops-by-race--reason-for-stop--officer-initiative,Vienna Police Dept,4,4,0,0,0,0,0,2024,0
number-of-stops-by-race--stop-outcome--warning,Atchison County Sheriff's Dept,21,18,2,1,0,0,0,2024,0
rates-by-race--population--2020-decennial-pop-pct,Pacific Police Dept,100,79.88,11.95,2.33,0.32,0.85,4.69,2024,0
rates-by-race--rates--arrest-rate,Exeter Police Dept,5.32,5.88,0,0,,0,,2024,0
rates-by-race--rates--search-rate,Rolla Police Dept,5.97,5.99,6.19,13.33,,0,2.27,2024,0
number-of-stops-by-race--location-of-stop--county-road,Sullivan Police Dept,3,2,1,0,0,0,0,2024,0
search-statistics--probable-cause--other,Cedar County Sheriff's Dept,2,2,0,0,0,0,0,2024,0
rates-by-race--population--2020-decennial-pop-pct,Buffalo Police Dept,100,90.56,0.16,2.4,1.14,0.35,5.39,2024,0
