row_key,agency,Total,White,Black,Hispanic,Asian,Am. Indian,Other,year,checked
key-indicators--stops,Adair County Sheriff's Dept,741,686,34,15,3,1,2,2016,1
key-indicators--arrests,Adair County Sheriff's Dept,11,9,1,1,0,0,0,2016,1
vehicle-stop-stats--reason-for-stop--moving,Adair County Sheriff's Dept,558,516,28,8,3,1,2,2016,1
vehicle-stop-stats--stop-outcome--citation,Adair County Sheriff's Dept,217,201,5,9,0,0,2,2016,1
search-stats--probable-cause-authority-to-search--consent,Adair County Sheriff's Dept,9,9,0,0,0,0,0,2016,1
search-stats--contraband-found--drugs-alcohol,Adair County Sheriff's Dept,2,2,0,0,0,0,0,2016,1
search-stats--arrest-charge--drug-violation,Adair County Sheriff's Dept,0,0,0,0,0,0,0,2016,1
key-indicators--stops,Arbyrd Police Dept,62,55,1,6,0,0,0,2016,1
key-indicators--arrests,Arbyrd Police Dept,0,0,0,0,0,0,0,2016,1
vehicle-stop-stats--reason-for-stop--moving,Arbyrd Police Dept,39,34,1,4,0,0,0,2016,1
vehicle-stop-stats--stop-outcome--citation,Arbyrd Police Dept,23,23,0,0,0,0,0,2016,1
search-stats--probable-cause-authority-to-search--consent,Arbyrd Police Dept,0,0,0,0,0,0,0,2016,1
search-stats--contraband-found--drugs-alcohol,Arbyrd Police Dept,0,0,0,0,0,0,0,2016,1
search-stats--arrest-charge--drug-violation,Arbyrd Police Dept,0,0,0,0,0,0,0,2016,1
key-indicators--stops,Aurora Police Dept,1881,1781,12,82,4,0,2,2016,1
key-indicators--arrests,Aurora Police Dept,60,53,0,7,0,0,0,2016,1
vehicle-stop-stats--reason-for-stop--moving,Aurora Police Dept,674,606,2,62,3,0,1,2016,1
vehicle-stop-stats--stop-outcome--citation,Aurora Police Dept,583,564,3,16,0,0,0,2016,1
search-stats--probable-cause-authority-to-search--consent,Aurora Police Dept,106,100,1,5,0,0,0,2016,1
search-stats--contraband-found--drugs-alcohol,Aurora Police Dept,34,32,0,2,0,0,0,2016,1
search-stats--arrest-charge--drug-violation,Aurora Police Dept,12,12,0,0,0,0,0,2016,1
key-indicators--stops,Bates County Sheriff's Dept,512,475,27,10,0,0,0,2016,1
key-indicators--arrests,Bates County Sheriff's Dept,47,45,1,1,0,0,0,2016,1
vehicle-stop-stats--reason-for-stop--moving,Bates County Sheriff's Dept,315,295,16,4,0,0,0,2016,1
vehicle-stop-stats--stop-outcome--citation,Bates County Sheriff's Dept,53,46,5,2,0,0,0,2016,1
