row_key,agency,Total,White,Black,Hispanic,Asian,Am. Indian,Other,year,checked
key-indicators--stops,Adair County Sheriff's Dept,597,554,22,15,5,0,1,2014,1
key-indicators--arrests,Adair County Sheriff's Dept,14,13,0,1,0,0,0,2014,1
vehicle-stop-stats--reason-for-stop--moving,Adair County Sheriff's Dept,379,350,15,10,4,0,0,2014,1
vehicle-stop-stats--stop-outcome--citation,Adair County Sheriff's Dept,169,154,10,5,0,0,0,2014,1
search-stats--probable-cause-authority-to-search--consent,Adair County Sheriff's Dept,24,21,2,1,0,0,0,2014,1
search-stats--contraband-found--drugs-alcohol,Adair County Sheriff's Dept,6,6,0,0,0,0,0,2014,1
search-stats--arrest-charge--drug-violation,Adair County Sheriff's Dept,3,3,0,0,0,0,0,2014,1
key-indicators--stops,Appleton City Police Dept,12,12,0,0,0,0,0,2014,1
key-indicators--arrests,Appleton City Police Dept,2,2,0,0,0,0,0,2014,1
vehicle-stop-stats--reason-for-stop--moving,Appleton City Police Dept,6,6,0,0,0,0,0,2014,1
vehicle-stop-stats--stop-outcome--citation,Appleton City Police Dept,9,9,0,0,0,0,0,2014,1
search-stats--probable-cause-authority-to-search--consent,Appleton City Police Dept,2,2,0,0,0,0,0,2014,1
search-stats--contraband-found--drugs-alcohol,Appleton City Police Dept,2,2,0,0,0,0,0,2014,1
search-stats--arrest-charge--drug-violation,Appleton City Police Dept,1,1,0,0,0,0,0,2014,1
key-indicators--stops,Atchison County Sheriff's Dept,343,327,8,5,1,0,2,2014,1
key-indicators--arrests,Atchison County Sheriff's Dept,9,9,0,0,0,0,0,2014,1
vehicle-stop-stats--reason-for-stop--moving,Atchison County Sheriff's Dept,218,208,7,2,0,0,1,2014,1
vehicle-stop-stats--stop-outcome--citation,Atchison County Sheriff's Dept,50,48,0,1,0,0,1,2014,1
search-stats--probable-cause-authority-to-search--consent,Atchison County Sheriff's Dept,5,3,0,2,0,0,0,2014,1
search-stats--contraband-found--drugs-alcohol,Atchison County Sheriff's Dept,4,4,0,0,0,0,0,2014,1
search-stats--arrest-charge--drug-violation,Atchison County Sheriff's Dept,1,1,0,0,0,0,0,2014,1
key-indicators--stops,Bates City Police Dept,178,172,3,3,0,0,0,2014,1
key-indicators--arrests,Bates City Police Dept,5,5,0,0,0,0,0,2014,1
vehicle-stop-stats--reason-for-stop--moving,Bates City Police Dept,78,75,1,2,0,0,0,2014,1
vehicle-stop-stats--stop-outcome--citation,Bates City Police Dept,101,99,1,1,0,0,0,2014,1
search-stats--probable-cause-authority-to-search--consent,Bates City Police Dept,2,2,0,0,0,0,0,2014,1
search-stats--contraband-found--drugs-alcohol,Bates City Police Dept,0,0,0,0,0,0,0,2014,1
search-stats--arrest-charge--drug-violation,Bates City Police Dept,0,0,0,0,0,0,0,2014,1
key-indicators--stops,Bellflower Police Dept,6,6,0,0,0,0,0,2014,1
key-indicators--arrests,Bellflower Police Dept,0,0,0,0,0,0,0,2014,1
vehicle-stop-stats--reason-for-stop--moving,Bellflower Police Dept,5,5,0,0,0,0,0,2014,1
vehicle-stop-stats--stop-outcome--citation,Bellflower Police Dept,6,6,0,0,0,0,0,2014,1
search-stats--probable-cause-authority-to-search--consent,Bellflower Police Dept,0,0,0,0,0,0,0,2014,1
search-stats--contraband-found--drugs-alcohol,Bellflower Police Dept,0,0,0,0,0,0,0,2014,1
search-stats--arrest-charge--drug-violation,Bellflower Police Dept,0,0,0,0,0,0,0,2014,1
key-indicators--stops,Beverly Hills Police Dept,1020,85,911,4,6,1,13,2014,1
key-indicators--arrests,Beverly Hills Police Dept,117,6,109,2,0,0,0,2014,1
vehicle-stop-stats--reason-for-stop--moving,Beverly Hills Police Dept,551,62,467,4,5,1,12,2014,1
vehicle-stop-stats--stop-outcome--citation,Beverly Hills Police Dept,1003,85,894,4,6,1,13,2014,1
search-stats--probable-cause-authority-to-search--consent,Beverly Hills Police Dept,0,0,0,0,0,0,0,2014,1
search-stats--contraband-found--drugs-alcohol,Beverly Hills Police Dept,5,0,3,2,0,0,0,2014,1
search-stats--arrest-charge--drug-violation,Beverly Hills Police Dept,6,0,4,2,0,0,0,2014,1
key-indicators--stops,Bollinger County Sheriff's Dept,555,543,4,2,4,0,2,2014,1
key-indicators--arrests,Bollinger County Sheriff's Dept,49,49,0,0,0,0,0,2014,1
vehicle-stop-stats--reason-for-stop--moving,Bollinger County Sheriff's Dept,301,294,3,1,2,0,1,2014,1
vehicle-stop-stats--stop-outcome--citation,Bollinger County Sheriff's Dept,59,57,1,0,1,0,0,2014,1
search-stats--probable-cause-authority-to-search--consent,Bollinger County Sheriff's Dept,21,20,1,0,0,0,0,2014,1
search-stats--contraband-found--drugs-alcohol,Bollinger County Sheriff's Dept,12,11,1,0,0,0,0,2014,1
search-stats--arrest-charge--drug-violation,Bollinger County Sheriff's Dept,7,7,0,0,0,0,0,2014,1
key-indicators--stops,Braymer Police Dept,166,165,0,1,0,0,0,2014,1
key-indicators--arrests,Braymer Police Dept,4,4,0,0,0,0,0,2014,1
vehicle-stop-stats--reason-for-stop--moving,Braymer Police Dept,127,126,0,1,0,0,0,2014,1
vehicle-stop-stats--stop-outcome--citation,Braymer Police Dept,44,44,0,0,0,0,0,2014,1
search-stats--probable-cause-authority-to-search--consent,Braymer Police Dept,0,0,0,0,0,0,0,2014,1
search-stats--contraband-found--drugs-alcohol,Braymer Police Dept,0,0,0,0,0,0,0,2014,1
search-stats--arrest-charge--drug-violation,Braymer Police Dept,0,0,0,0,0,0,0,2014,1
key-indicators--stops,Bucklin Police Dept,84,84,0,0,0,0,0,2014,1
key-indicators--arrests,Bucklin Police Dept,0,0,0,0,0,0,0,2014,1
vehicle-stop-stats--reason-for-stop--moving,Bucklin Police Dept,51,51,0,0,0,0,0,2014,1
vehicle-stop-stats--stop-outcome--citation,Bucklin Police Dept,2,2,0,0,0,0,0,2014,1
search-stats--probable-cause-authority-to-search--consent,Bucklin Police Dept,0,0,0,0,0,0,0,2014,1
search-stats--contraband-found--drugs-alcohol,Bucklin Police Dept,0,0,0,0,0,0,0,2014,1
search-stats--arrest-charge--drug-violation,Bucklin Police Dept,0,0,0,0,0,0,0,2014,1
key-indicators--stops,Cabool Police Dept,703,665,15,12,9,2,0,2014,1
key-indicators--arrests,Cabool Police Dept,44,43,0,1,0,0,0,2014,1
vehicle-stop-stats--reason-for-stop--moving,Cabool Police Dept,462,433,11,8,8,2,0,2014,1
vehicle-stop-stats--stop-outcome--citation,Cabool Police Dept,361,337,11,8,4,1,0,2014,1
search-stats--probable-cause-authority-to-search--consent,Cabool Police Dept,29,25,2,2,0,0,0,2014,1
search-stats--contraband-found--drugs-alcohol,Cabool Police Dept,13,12,1,0,0,0,0,2014,1
search-stats--arrest-charge--drug-violation,Cabool Police Dept,4,4,0,0,0,0,0,2014,1
key-indicators--stops,Camdenton Police Dept,1436,1374,23,25,4,1,9,2014,1
key-indicators--arrests,Camdenton Police Dept,42,41,1,0,0,0,0,2014,1
vehicle-stop-stats--reason-for-stop--moving,Camdenton Police Dept,893,850,16,16,2,1,8,2014,1
vehicle-stop-stats--stop-outcome--citation,Camdenton Police Dept,642,615,12,8,1,1,5,2014,1
search-stats--probable-cause-authority-to-search--consent,Camdenton Police Dept,31,29,1,0,0,0,1,2014,1
search-stats--contraband-found--drugs-alcohol,Camdenton Police Dept,8,7,1,0,0,0,0,2014,1
search-stats--arrest-charge--drug-violation,Camdenton Police Dept,6,5,1,0,0,0,0,2014,1
key-indicators--stops,Carroll County Sheriff's Dept,172,165,4,3,0,0,0,2014,1
