row_key,agency,Total,White,Black,Hispanic,Native American,Asian,Other,year,checked
search-statistics--arrest-charge--resist-arrest,Fair Grove Police Dept,0,0,0,0,0,0,0,2020,0
search-statistics--probable-cause--reas-susp-weapon,Fair Grove Police Dept,3,3,0,0,0,0,0,2020,0
search-statistics--search-duration--31-minutes,Fair Grove Police Dept,0,0,0,0,0,0,0,2020,0
number-of-stops-by-race--stop-outcome--warning,Fair Grove Police Dept,432,414,9,7,1,0,1,2020,0
search-statistics--arrest-charge--off-against-person,Fair Grove Police Dept,0,0,0,0,0,0,0,2020,0
number-of-stops-by-race--non-resident-stops,Fair Grove Police Dept,344,319,11,8,3,1,2,2020,0
search-statistics--arrest-charge--outstanding-warrant,Fair Grove Police Dept,9,9,0,0,0,0,0,2020,0
disparity-index-by-race--population--acs-population,Fair Grove Police Dept,1057,1037,0,13,0,4,6,2020,0
number-of-stops-by-race--reason-for-stop--equpiment,Fair Grove Police Dept,89,86,1,1,0,0,1,2020,0
number-of-stops-by-race--location-of-stop--city-street,Fair Grove Police Dept,286,278,3,4,1,0,0,2020,0
number-of-stops-by-race--reason-for-stop--moving,Fair Grove Police Dept,310,298,5,6,1,0,0,2020,0
search-statistics--probable-cause--consent,Fair Grove Police Dept,21,19,0,1,1,0,0,2020,0
number-of-stops-by-race--stop-outcome--contraband,Fair Grove Police Dept,19,16,1,1,1,0,0,2020,0
search-statistics--contraband-found--drugs-alcohol,Fair Grove Police Dept,18,15,1,1,1,0,0,2020,0
number-of-stops-by-race--stop-outcome--citation,Fair Grove Police Dept,196,187,2,3,2,1,1,2020,0
search-statistics--search-duration--0-15-minutes,Fair Grove Police Dept,37,36,1,0,0,0,0,2020,0
number-of-stops-by-race--driver-age--17-and-under,Fair Grove Police Dept,23,22,1,0,0,0,0,2020,0
rates-by-race--stop-rate-residents--arrest-rate,Lincoln University Police Dept,7.32,4.76,8.47,0,,,,2020,0
number-of-stops-by-race--location-of-stop--state-hwy,Fair Grove Police Dept,18,16,1,1,0,0,0,2020,0
number-of-stops-by-race--driver-age--40-and-over,Fair Grove Police Dept,200,198,1,0,1,0,0,2020,0
rates-by-race--rates--stop-rate-residents,Ashland Police Dept,15.16,14.83,112.5,12.12,,,0,2020,0
disparity-index-by-race--stops--all-stops,Fair Grove Police Dept,626,599,11,10,3,1,2,2020,0
rates-by-race--totals--all-stops,Fair Grove Police Dept,626,599,11,10,3,1,2,2020,0
search-statistics--search-duration--16-30-minutes,Fair Grove Police Dept,11,9,0,1,1,0,0,2020,0
number-of-stops-by-race--stop-outcome--no-action,Fair Grove Police Dept,3,3,0,0,0,0,0,2020,0
number-of-stops-by-race--stop-outcome--arrests,Fair Grove Police Dept,43,42,0,1,0,0,0,2020,0
search-statistics--arrest-charge--dwi-bac,Fair Grove Police Dept,6,5,0,1,0,0,0,2020,0
search-statistics--probable-cause--other,Fair Grove Police Dept,1,1,0,0,0,0,0,2020,0
number-of-stops-by-race--resident-stops,Fair Grove Police Dept,282,280,0,2,0,0,0,2020,0
disparity-index-by-race--disparity-index--all-stops,Ashland Police Dept,,0.894,19.597,1.357,,,0,2020,0
search-statistics--contraband-found--weapon,Fair Grove Police Dept,0,0,0,0,0,0,0,2020,0
rates-by-race--stop-rate-residents--contraband-hit-rate,Lincoln University Police Dept,40,100,25,,,,,2020,0
rates-by-race--rates--search-rate,Ashland Police Dept,5.68,4.34,17.14,5,0,0,,2020,0
search-statistics--probable-cause--plain-view-contra,Fair Grove Police Dept,7,6,0,1,0,0,0,2020,0
rates-by-race--stop-rate-residents--search-rate,UCM-Dept of Public Safety,11.88,11.5,15.87,0,,7.14,0,2020,0
rates-by-race--totals--searches,Fair Grove Police Dept,48,45,1,1,1,0,0,2020,0
search-statistics--arrest-charge--other,Fair Grove Police Dept,36,34,0,2,0,0,0,2020,0
rates-by-race--rates--contraband-hit-rate,Poplar Bluff Police Dept,40.38,39.86,43.55,0,,,,2020,0
disparity-index-by-race--disparity-index--resident-stops,Osage County Sheriff's Dept,,1.014,0,0,0,0,0,2020,0
